詩人,性別,唐詩紀事卷,birth-death,,,Geography,背景,當官年代,,
  11. 劉長卿: 503 首,male,26,726?-790?,?-786/790,?-790,唐朝--河北道--瀛州--河間(Hejian),poet詩人、man of culture (wenren)文人、civil office[為官者：文],757-779,,
  12. 皎然: 498 首,male,73,730-799,,,唐朝--江南道--湖州--長城(Changcheng),僧、	skilled at writing工於文,,,
  13. 許渾: 496 首,male,56,788-860,,,,,,,
  14. 杜牧: 484 首,male,56,803-852,803-853,,唐朝--關內道--京兆--長安(Chang'an)/唐朝--關內道--京兆--萬年(Wannian),calligrapher書法家、poet詩人、man of culture (wenren)文人、 skilled at writing工於文、civil office[為官者：文],833-852,,
  15. 羅隱: 459 首,male,69,833-910,,,唐朝--江南道--杭州--餘杭(Yuhang)/唐朝--江南道--杭州--新城(Xincheng),calligrapher書法家、painter畫家、poet詩人、man of culture (wenren)文人、 skilled at writing工於文、civil office[為官者：文],870-?,,
  16. 姚合: 451 首,male,49,781-846,777-843,,唐朝--江南道--湖州(Hu Zhou),callpoet詩人、man of culture (wenren)文人,826-846,,
  17. 張籍: 450 首,male,34,767-830,766-830,,唐朝--淮南道--和縣--歷陽(Liyang)/唐朝--江南道--蘇州--吳縣(Wu Xian),calligrapher書法家、poet詩人、man of culture (wenren)文人、 skilled at writing工於文、civil office[為官者：文],806-828,,
  18. 錢起: 425 首,male,30,710-780,710-782,,,poet詩人、man of culture (wenren)文人,759-780,,
  19. 賈島: 401 首,male,40,779-843,,,唐朝--河北道--幽州--幽都(Youdu),calligrapher書法家、poet詩人、man of culture (wenren)文人,837-843,,
  20. 孟郊: 390 首,male,35,751-814,,,唐朝--河北道--河南--洛陽(Luoyang)/唐朝--江南道--湖州--武康(Wukang)/唐朝--河北道--德州--平昌(Pingchang),poet詩人、man of culture (wenren)文人,800-814,,
  21. 佚名: 388 首,,,,,,,,,,
  22. 岑參: 384 首,male,23,715-770,717?-769,,"唐朝--江南道--杭州--鹽官(Yanguan),唐朝--山南道--江陵(Jiangling)","poet詩人,man of culture (wenren)文人,civil office[為官者：文]",749-767,,
  23. 王建: 380 首,male,44,766-830,,,唐朝--關內道--關輔(Guanfu),"poet詩人,man of culture (wenren)文人",795-828,,
  24. 張祜: 362 首,male,52,785-854,792? - 853?,,唐朝--山南道--鄧州--南陽(Nanyang),"poet詩人,man of culture (wenren)文人",,,
  25. 韓愈: 358 首,male,34,768-824,768 - 825,,"唐朝--河北道--恆州--槁城(Gaocheng),唐朝--河北道--河南--河陽(Heyang),	唐朝--山南道--鄧州--南陽(Nanyang)","calligrapher書法家,poet詩人,man of culture (wenren)文人,skilled at writing工於文,civil office[為官者：文]",796-823,,
  26. 王維: 346 首,male,16,699-761,701-761,,唐朝--河東道--蒲州--河東(Hedong),"calligrapher書法家,painter畫家,poet詩人,man of culture (wenren)文人,skilled at writing工於文,civil office[為官者：文]",735-760,,
  27. 皮日休: 342 首,male,64,838-883,834-883,,"唐朝--江南道--越州--會稽(Kuaiji),唐朝--山南道--復州--竟陵(Jingling)",,869-880,,
  28. 溫庭筠: 338 首,male,54,824-882,812-870,801?-866,唐朝--河東道--太原--祁縣(Qi Xian),skilled at writing工於文,859-866,,
  29. 方幹: 331 首,male,63,809-886,809-888,,"唐朝--江南道--睦州--桐廬(Tonglu),唐朝--江南道--睦州--清溪(Qingxi)","poet詩人,man of culture (wenren)文人,literati士人",,,
  30. 韋莊: 329 首,male,68,836-910,,,	唐朝--嶺南道--恩州--杜陵(Duling),calligrapher書法家、poet詩人、man of culture (wenren)文人、 skilled at writing工於文,897-?,,
  31. 權德輿: 329 首,male,31,759-818,761-818,,"唐朝--河北道--河南--洛陽(Luoyang),唐朝--隴右道--秦州--上邽(Shanggui)","poet詩人,man of culture (wenren)文人,skilled at writing工於文,office: finance[財政官員],office:state council[宰執]",,,
  32. 杜荀鶴: 322 首,male,65,846-904,,,"唐朝--江南道--池州--秋浦(Qiupu),	唐朝--江南道--池州--石埭(Shidai)",calligrapher書法家、poet詩人、man of culture (wenren)文人、 skilled at writing工於文,903-904,,
  33. 盧綸: 317 首,male,30,739-799,737-799,743-800,,,,,
  34. 韓偓: 312 首,male,65,842-914?,,,唐朝--關內道--京兆--萬年(Wannian),calligrapher書法家、poet詩人、man of culture (wenren)文,901-905,,
  35. 張說: 293 首,male,14,667-731,,,	唐朝--河北道--河南--洛陽(Luoyang),"skilled at writing工於文,office: chief councilor[宰相]",684-729,,
  36. 戴叔倫: 286 首,male,29,732-789,,,唐朝--江南道--潤州--金壇(Jintan),,766-788,,
  37. 李中: 283 首,male,x,,,,	唐朝--江南道--江州(Jiang Zhou),,?-972,,
  38. 吳融: 280 首,male,68,?-903,,,	唐朝--江南道--越州--山陰(Shanyin),skilled at writing工於文,901-903,,
  39. 薛能: 267 首,male,60,?-880,,,唐朝--河東道--汾州(Fen Zhou),,854-870,,
  40. 李端: 266 首,male,30,?-786,,,唐朝--河北道--趙州(Zhao Zhou),poet詩人,782-?,,
  41. 孟浩然: 266 首,male,23,689-740,,,唐朝--山南道--襄州--襄陽(Xiangyang),"poet詩人,man of culture (wenren)文人",737-?,,
  42. 趙嘏: 256 首,male,56,806-854,806-852,,唐朝--淮南道--楚州--山陽(Shanyang),"poet詩人,man of culture (wenren)文人,skilled at writing工於文,office: finance[財政官員],office:state council[宰執]",831-854,,
  43. 徐鉉: 249 首,male,x,916-991,,,"宋朝--江南西路--洪州--南昌(Nanchang),宋朝--淮南東路--揚州--廣陵(Guangling)","philologist小學家,man of culture (wenren)文人,philologist (shuowen)小學家－說文,skilled at writing工於文,civil office[為官者：文]",?-991,,
  44. 徐夤: 241 首,male,x,849-938,,,唐朝--江南道--泉州--莆田(Putian),"poet詩人,man of culture (wenren)文人,office: chief councilor[宰相]",,,
  45. 皇甫冉: 240 首,male,52,717-770,,,	唐朝--江南道--潤州--丹陽(Danyang),"poet詩人,man of culture (wenren)文人",764-767,,
  46. 李群玉: 235 首,male,54,?-862,,,唐朝--山南道--澧州(Li Zhou),skilled at writing工於文,,,
  47. 顧況: 230 首,male,28,727-816,,,	唐朝--江南道--蘇州(Su Zhou),"painter畫家,poet詩人,man of culture (wenren)文人,skilled at writing工於文",780-789,,
  48. 司空圖: 228 首,male,63,837-908,,,虞鄉(Yuxiang),skilled at writing工於文,885-907,,
  49. 李賀: 214 首,male,43,790-816,,,	唐朝--河北道--河南--福昌(Fuchang),poet詩人,811-?,,
  50. 高適: 204 首,male,23,700-765,,,,poet詩人,753-763,,
  51. 李嶠: 201 首,male,10,645-714,,,	唐朝--河北道--趙州--贊皇(Zanhuang),"poet詩人,man of culture (wenren)文人,skilled at writing工於文,civil office[為官者：文]",684-712,,
  52. 李頻: 201 首,male,60,?-876,,,唐朝--江南道--睦州--壽昌(Shouchang),"poet詩人,man of culture (wenren)文人",875-?,,
  53. 鄭穀: 197 首,male,70,851-910,849-911,,,,,,
  54. 黃滔: 195 首,male,x,840-911,?-911,840-?,唐朝--江南道--泉州--莆田(Putian),civil office[為官者：文],900-901,,
  55. 施肩吾: 194 首,male,41,780-861,,,,,,,
  56. 周曇: 193 首,male,x,?-?,,,"唐朝--江南道--常州(Chang Zhou), 唐朝--江南道--湖州(Hu Zhou),唐朝--江南道--睦州--分水(Fenshui),        唐朝--江南道--洪州(Hong Zhou)","poet詩人,man of culture (wenren)文人,skilled at writing工於文",,,
  57. 張九齡: 190 首,male,15,678-740,673-740,,	唐朝--關內道--京兆--長安(Chang'an),"calligrapher書法家, poet詩人,civil office[為官者：文]",718-737,,
  58. 武元衡: 190 首,male,33,758-815,,,"唐朝--河東道--太原--文水(Wenshui),	唐朝--河北道--河南--緱氏(Goushi)","poet詩人,man of culture (wenren)文人,skilled at writing工於文,office: chief councilor[宰相]",804-813,,
  59. 宋之問: 189 首,male,11,656-712,,,唐朝--河南道--虢州--弘農(Hongnong)/  唐朝--河東道--汾州--西河(Xihe),calligrapher書法家、poet詩人、man of culture (wenren)文人、skilled at writing工於文、 civil office[為官者：文],690-709,,
  60. 鮑溶: 183 首,male,41,?-?,,,唐朝--淮南道--楚州(Chu Zhou),"poet詩人,man of culture (wenren)文人",,,
  61. 耿湋: 179 首,male,30,736-787,,,唐朝--河東道--蒲州(Pu Zhou),"poet詩人,man of culture (wenren)文人",766-780,,
  62. 李益: 174 首,male,30,748-827,746-829,,唐朝--河北道--鄭州--管城(Guancheng),poet詩人、man of culture (wenren)文人、 civil office[為官者：文],717-820,,
  63. 儲光羲: 172 首,male,22,706?-762?,706-760,707-760,唐朝--江南道--潤州--延陵(Yanling),"poet詩人,man of culture (wenren)文人",784-?,,
  64. 司空曙: 172 首,male,30,720-790,,,唐朝--河北道--幽州--廣平(Guangping),"poet詩人,man of culture (wenren)文人",779-785,,
  65. 沈佺期: 167 首,male,11,656-713/714/716,656-729,?-713,唐朝--河北道--相州--內黃(Neihuang),"poet詩人,man of culture (wenren)文人,skilled at writing工於文,civil office[為官者：文]",700-819,,
  66. 馬戴: 166 首,male,54,799-869,?-869,,,"poet詩人,man of culture (wenren)文人",847-?,,
  67. 王昌齡: 166 首,male,24,690-756,698-756/757,,唐朝--關內道--京兆--萬年(Wannian),poet詩人,749-?,,
  68. 朱慶餘: 166 首,male,46,?-?,,,越州（今浙江绍兴）人,,,宝历二年（826）进士,
  69. 張喬: 166 首,male,70,?-?,,,唐朝--江南道--池州(Chi Zhou),"poet詩人,man of culture (wenren)文人",,,
  70. 胡曾: 165 首,male,71,840-?,,,唐朝--江南道--潭州--長沙(Changsha)/唐朝--江南道--邵州--邵陽(Shaoyang),"poet詩人,man of culture (wenren)文人,skilled at writing工於文",,,
  71. 唐彥謙: 165 首,male,68,845-915,?-893,,唐朝--河東道--太原--晉陽(Jinyang),,,,
  72. 李洞: 165 首,male,58,?-897?,,,唐朝--關內道--京兆(Jingzhao),,,,
  73. 韓翃: 163 首,male,30,729-788,?-?,,唐朝--山南道--鄧州--南陽(Nanyang),"poet詩人,man of culture (wenren)文人",762-780,,
  74. 柳宗元: 161 首,male,43,773-819,,,唐朝--河東道--蒲州--解縣(Jie Xian),"calligrapher書法家, poet詩人,skilled at writing工於文,civil office[為官者：文]",803-815,,
  75. 楊巨源: 145 首,male,35,?-?,755-833,,唐朝--河東道--河中府(Hezhong Fu),"poet詩人,man of culture (wenren)文人",811-824,,
  76. 曹松: 143 首,male,65,830-903,830?-903?,,	唐朝--淮南道--舒州(Shu Zhou),"poet詩人,man of culture (wenren)文人",,,
  77. 羅鄴: 142 首,male,68,825-?,,,"唐朝--江南道--蘇州--吳縣(Wu Xian),        唐朝--江南道--杭州--餘杭(Yuhang)","poet詩人,man of culture (wenren)文人,skilled at writing工於文",,,
  78. 無名氏: 140 首,,,,,,,,,,
  79. 李鹹用: 138 首,male,x,?-?,,,唐朝--江南道--吉州--廬陵(Luling),"poet詩人,man of culture (wenren)文人, literati士人",,,
  80. 劉得仁: 137 首,male,53,?-?,,,,"poet詩人,man of culture (wenren)文人",,,
  81. 許棠: 136 首,male,70,822-?,,,唐朝--江南道--宣州--涇縣(Jing Xian),"poet詩人,man of culture (wenren)文人,skilled at writing工於文",,,
  82. 李德裕: 135 首,male,48,787-849,787-850,,"唐朝--關內道--京兆--長安(Chang'an),唐朝--河北道--趙州--贊皇(Zanhuang)",calligrapher書法家、poet詩人、skilled at writing工於文、office: chief councilor[宰相],,,
  83. 李嘉佑: 132 首,male,21,719?-?,,,,唐朝官员,,,
  84. 李頎: 126 首,male,20,690-751,,,,"poet詩人,man of culture (wenren)文人",,,
  85. 雍陶: 123 首,male,56,805-?,,,唐朝--劍南道--成都--成都(Chengdu),"poet詩人,man of culture (wenren)文人,skilled at writing工於文",854-854,,
  86. 李紳: 123 首,male,39,772-846,,,唐朝--江南道--常州--無錫(Wuxi),"calligrapher書法家、poet詩人、man of culture (wenren)文人, skilled at writing工於文",,,
  87. 駱賓王: 121 首,male,7,640-684,627-684,,唐朝--江南道--婺州--義烏(Yiwu),civil office[為官者：文],659-?,,
  88. 戎昱: 117 首,male,28,735-800?,744-800,,遼朝--東京道--荊州(Jing Zhou),"calligrapher書法家、poet詩人、man of culture (wenren)文人, skilled at writing工於文",763-805,,
  89. 鄭谷: 111 首,male,70,849-911,851-?,,唐朝--江南道--袁州--宜春(Yichun),"poet詩人,man of culture (wenren)文人",893-897,,
  90. 劉商: 110 首,male,32,727-805,?-?,,唐朝--河南道--徐州--彭城(Pengcheng),poet詩人,766-795,,
  91. 陳陶: 109 首,male,60,803-879,812-855,,,"poet詩人,man of culture (wenren)文人",,,
  92. 李涉: 107 首,male,x,?-?,,,唐朝--河北道--河南--洛陽(Luoyang),poet詩人,806-821,,
  93. 盧照鄰: 106 首,male,7,634-686,634-689,,唐朝--河北道--幽州--范陽(Fanyang),,662-?,,
  94. 蘇頲: 104 首,male,10,670-727,,,唐朝--關內道--岐州--扶風(Fufeng)/唐朝--關內道--京兆--武功(Wugong),poet詩人、 skilled at writing工於文、 office: chief councilor[宰相],706-725,,
  95. 曹鄴: 104 首,male,60,816-875,?-?,,唐朝--嶺南道--桂州--陽朔(Yangshuo)/唐朝--嶺南道--桂州--桂州(Guizhou),"poet詩人,man of culture (wenren)文人",860-?,,
  96. 呂溫: 102 首,male,43,772-810,772-811,,唐朝--河東道(Hedong Dao),skilled at writing工於文,772-881,,
  97. 劉滄: 101 首,male,58,?-?,~867,,唐朝--劍南道--茂州--汶山(Wenshan),"poet詩人,man of culture (wenren)文人",,,
  98. 張蠙: 101 首,male,70,?-?,,,唐朝--河北道--貝州--清河(Qinghe)（祖籍）,,,,
  99. 呂岩: 101 首,male,x,798-?,,,,呂洞賓,,,
 100. 崔塗: 100 首,male,61,850?-?,854-?,887,唐朝--江南道--睦州--桐廬(Tonglu),poet詩人、man of culture (wenren)文人、 skilled at writing工於文,,,
 101. 項斯: 97 首,male,49,810-890,,,唐朝--江南道--台州--臨海(Linhai),poet詩人、man of culture (wenren)文人、 civil office[為官者：文],,,
 102. 無可: 96 首,male,74,?-?,,,唐朝--河北道--涿州--范陽(Fanyang),僧、poet詩人,,賈島弟弟,
 103. 羊士諤: 94 首,male,43,762-822,?-?,,唐朝--河南道--兗州--萊蕪(Laiwu),poet詩人、man of culture (wenren)文人、 skilled at writing工於文,777-819,,
 104. 周賀: 92 首,male,x,?-?,~820,,唐朝--河北道--河南--洛陽(Luoyang),poet詩人,,,
 105. 薛逢: 91 首,male,59,806-874,?-?,,唐朝--河東道--蒲州--河東(Hedong),"calligrapher書法家、poet詩人、man of culture (wenren)文人, skilled at writing工於文",849-860,,
 106. 徐凝: 91 首,male,41,792-853,?-?,,唐朝--江南道--睦州(Mu Zhou),calligrapher書法家、poet詩人、man of culture (wenren)文人,,,
 107. 元結: 89 首,male,22,719-772,723-772,,唐朝--河南道--光州--固始(Gushi),poet詩人、man of culture (wenren)文人、skilled at writing工於文、 civil office[為官者：文],759-769,,
 108. 盧仝: 88 首,male,35,795-835,,,河南濟源人,,,早年即隱居嵩山少室山、詩風奇詭險怪,
 109. 陳子昂: 88 首,male,8,661-702,,,唐朝--劍南道--梓州--射洪(Shehong),poet詩人、man of culture (wenren)文人 civil office[為官者：文],696-?,,
 110. 李建勳: 88 首,male,x,873-952,,,遼朝--西京道--蔚州--廣陵(Guangling),poet詩人、man of culture (wenren)文人,,,
 111. 李世民: 86 首,male,x,599-649,598-649,,唐朝--關內道--京兆--長安(Chang'an),skilled at writing工於文、emperor[皇帝],618-626,,
 112. 獨孤及: 80 首,male,27,725-777,726-777,,唐朝--河北道--河南--洛陽(Luoyang),poet詩人、man of culture (wenren)文人、skilled at writing工於文、 civil office[為官者：文],758-773,,
 113. 歐陽詹: 79 首,male,35,757-802,755-800,758-801,唐朝--江南道--泉州--晉江(Jinjiang),poet詩人、skilled at writing工於文,,,
 114. 王勃: 78 首,male,7,650-676,,,唐朝--河東道--絳州--龍門(Longmen),poet詩人、man of culture (wenren)文人、 civil office[為官者：文],,,
 115. 殷堯藩: 77 首,male,51,780-855,?-?,,唐朝--江南道--蘇州--嘉興(Jiaxing),poet詩人、man of culture (wenren)文人,826-835,,
 116. 李山甫: 77 首,male,70,?-?,,,,poet詩人、man of culture (wenren)文人,887-?,,
 117. 薛濤: 77 首,female,79,770-832,768-831,,唐朝--關內道--京兆--長安(Chang'an),calligrapher書法家、poet詩人、man of culture (wenren)文人,,,
 118. 吳筠: 76 首,male,23,715-778,?-778,,唐朝--關內道--華州--華陰(Huayin),skilled at writing工於文,754-?,晚唐詠史四大家,
 119. 孫元晏: 74 首,male,x,?-?,,,,poet詩人,,,
 120. 劉駕: 73 首,male,63,882-?,?-?,,唐朝--江南道--江東(Jiangdong; Jiangzuo),poet詩人、man of culture (wenren)文人,809-?,,
 121. 劉兼: 72 首,male,x,?-894,,,宋朝--永興路--京兆府--長安(Chang'an),,650-960,五代宋初,
 122. 郎士元: 71 首,male,43,727-780,?-?,,河北道--定州--中山(Zhongshan),poet詩人、man of culture (wenren)文人,762-805,,
 123. 顧非熊: 71 首,male,63,796-854,797-854,,唐朝--江南道--蘇州(Su Zhou),poet詩人、man of culture (wenren)文人,854-?,,
 124. 劉言史: 70 首,male,46,?-812,,,唐朝--河北道--河南--洛陽(Luoyang)/唐朝--河北道--趙州(Zhao Zhou),poet詩人、man of culture (wenren)文人,795-?,,
 125. 李郢: 70 首,male,58,?-?,,,唐朝--關內道--京兆--長安(Chang'an),poet詩人,,,
 126. 嚴維: 67 首,male,47,?-780,?-784,?-?,唐朝--江南道--越州--山陰(Shanyin),poet詩人、man of culture (wenren)文人、 skilled at writing工於文,757-779,,
 127. 章孝標: 67 首,male,41,791-873,,,唐朝--江南道--睦州--桐廬(Tonglu),skilled at writing工於文,831-831,,
 128. 崔道融: 67 首,male,x,?-907,,,遼朝--東京道--荊州(Jing Zhou),poet詩人,896-?,,
 129. 王貞白: 66 首,male,67,875-958,875-?,,唐朝--江南道--信州--永豐(Yongfeng),poet詩人、man of culture (wenren)文人,902-?,,
 130. 喻鳧: 64 首,male,51,?-?,~840,,江蘇常州人,,,唐才子傳,
 131. 李隆基: 62 首,male,x,685-762,,,唐朝--關內道--京兆--長安(Chang'an),skilled at writing工於文、 emperor[皇帝],687-756,唐玄宗,
 132. 陳羽: 61 首,male,35,733-?,?-?,~806,唐朝--江南道--蘇州--吳縣(Wu Xian),poet詩人、man of culture (wenren)文人,,,
 133. 牟融: 61 首,male,,,,,,poet詩人,,牟融是明代人伪造诗集而托名的“唐代诗人”。,
 134. 楊衡: 60 首,male,51,?-?,,,唐朝--關內道--岐州--陳倉(Chencang),poet詩人、man of culture (wenren)文人,792-800,,
 135. 孫逖: 60 首,male,26,696-761,,,唐朝--河東道--潞州--涉縣(She Xian),poet詩人、man of culture (wenren)文人、 civil office[為官者：文],730-746,,
 136. 汪遵: 59 首,male,59,?-?,,,唐朝--江南道--宣州--涇縣(Jing Xian),poet詩人、man of culture (wenren)文人,,,
 137. 裴夷直: 52 首,male,51,787-859,,,唐朝--江南道--蘇州--吳縣(Wu Xian),,835-857,,
 138. 王周: 52 首,male,x,?-948,,,魏州人,五代节度使,,,
 139. 崔國輔: 51 首,male,15,687?-755?,,,唐朝--河南道--青州--益都(Yidu)/唐朝--江南道--蘇州--吳縣(Wu Xian)/唐朝--江南道--越州--山陰(Shanyin),poet詩人、man of culture (wenren)文人、 civil office[為官者：文],741-758,,
 140. 常建: 51 首,male,31,708-765,,,唐朝--關內道--京兆--長安(Chang'an),poet詩人、man of culture (wenren)文人、 skilled at writing工於文,,,
 141. 令狐楚: 51 首,male,42,766-837,,,唐朝--關內道--京兆--華原(Huayuan)/唐朝--隴右道--沙州--燉煌(Dunhuang),poet詩人、man of culture (wenren)文人、 office: chief councilor[宰相],792-836,,
 142. 裴說: 51 首,male,65,?-908,,,唐朝--嶺南道--桂州--桂州(Guizhou),poet詩人,,,
 143. 於鵠: 50 首,male,29,747-821,,,,,,早年隱居沔州漢陽、與張籍友好、多描绘隐逸生活及禅心道风,
 144. 于武陵: 50 首,male,58,?-?,,,祖籍杜曲（今陕西西安长安区）,,,晚年隐居长安以占卜为生,
 145. 段成式: 50 首,male,57,800-863,?-863,,唐朝--江南道--吉州--永新(Yongxin),poet詩人、 skilled at writing工於文、 civil office[為官者：文],844-860,,
 146. 張繼: 48 首,male,25,715-779,?-779,,襄州襄陽（今湖北襄陽）人,,,,
 147. 高駢: 48 首,male,63,821-887,,,唐朝--河北道--幽州(You Zhou),calligrapher書法家、poet詩人、man of culture (wenren)文人、skilled at writing工於文,854-879,,
 148. 皇甫曾: 48 首,male,27,?-785,,,唐朝--江南道--潤州--丹陽(Danyang),poet詩人、man of culture (wenren)文人,766-779,,
 149. 魚玄機: 48 首,female,78,844-868,,,唐朝--關內道--京兆--長安(Chang'an),poet詩人、man of culture (wenren)文人,,丈夫李億,
 150. 崔峒: 47 首,male,30,?-?,,,唐朝--河北道--恆州--井陘(Jingxing),poet詩人,782-785,,
 151. 武則天: 46 首,female,3,624-705,,,唐朝--河東道--太原--文水(Wenshui),empress[皇后],,,
 152. 包佶: 46 首,male,40,727-792,?-792,,唐朝--江南道--潤州--延陵(Yanling),poet詩人、man of culture (wenren)文人、 skilled at writing工於文,766-788,,
 153. 王績: 45 首,male,4,585-644,,,龍門縣（今山西河津市）,,,,
 154. 崔顥: 44 首,male,21,704-754,?-754,,唐朝--河南道--汴州(Bian Zhou),poet詩人、man of culture (wenren)文人,741-742,,
 155. 李乂: 43 首,male,10,657-716,,,房子縣（今河北省臨城縣),唐朝大臣、poet詩人,,,
 156. 聶夷中: 42 首,male,61,837-884,,,唐朝--河南道--鄆州--中都(Zhongdu)/唐朝--河東道--蒲州--河東(Hedong),poet詩人、man of culture (wenren)文人,,,
 157. 賈至: 42 首,male,22,718-772,,,唐朝--河北道--河南--洛陽(Luoyang),poet詩人、man of culture (wenren)文人、 civil office[為官者：文],756-770,,
 158. 靈一: 42 首,male,72,727-762,,,遼朝--西京道--蔚州--廣陵(Guangling),僧、poet詩人,,釋一公,
 159. 杜審言: 40 首,male,6,645-708,,,唐朝--關內道--京兆--長安(Chang'an),calligrapher書法家、poet詩人、man of culture (wenren)文人、civil office[為官者：文],697-706,,
 160. 竇鞏: 40 首,male,31,771-830,,,唐朝--關內道--岐州--扶風(Fufeng),詩人 文人、官員,,,
 161. 張謂: 39 首,male,25,?-778,,,懷州--河內(Henei),詩人 文人、官員,,,
 162. 曹唐: 39 首,male,58,?-?,,,唐朝--嶺南道--桂州--桂州(Guizhou),詩人 文人、官員,866,,
 163. 譚用之: 39 首,male,x,?-?,active 930-933,,?,詩人(仕途不達),,,
 164. 李煜: 38 首,male,x,?-?,,,,書法家、畫家、詩人,,,
 165. 楊凝: 38 首,male,x,?-803,,,唐朝--河南道--虢州--弘農(Hongnong),詩人,784-802,,
 166. 司馬紮: 38 首,male,x,?-?,active 847-858,,,,,宮怨詩,
 167. 儲嗣宗: 38 首,male,x,?-?,,,潤州延陵（今江蘇丹陽),,,曾出使邊塞,
 168. 虞世南: 37 首,male,4,558-638,,,唐朝--江南道--越州--餘姚(Yuyao),書法家、詩人、工於文、為官者,?633,,
 169. 於濆: 37 首,male,x,?-?,,,京兆長安（今陝西西安）,,,早年遊邊塞,
 170. 秦系: 37 首,male,28,720-800,,,唐朝--江南道--越州--會稽(Kuaiji),詩人、文人、為官者,770-791,,
 171. 秦韜玉: 37 首,male,63,?-?,,,唐朝--關內道--京兆(Jingzhao)/唐朝--江南道--湖南(Hunan),詩人、文人,884-887,依附宦官、芳林十哲,
 172. 孫光憲: 36 首,male,x,-965,?-968,,宋朝--益州路--隆州--貴平(Guiping),校刊學家、工於文、好學、為官者,907-968,,
 173. 祖詠: 36 首,male,20,?-?,699-746,,唐朝--河北道--河南--洛陽(Luoyang),詩人、文人、工於文、為官者,,與王維、儲光羲、盧象、丘為友善，其中與王維交誼頗深,
 174. 李咸用: 36 首(似乎是李鹹用),male,x,,,,唐朝--隴右道--渭州--隴西(Longxi),詩人,,第一個人使用[新聞],
 175. 徐彥伯: 35 首(有兩人),male,9,,,,,,703-711,,
 176. 魏征: 35 首,male,4,580-643,,,唐朝--關內道--京兆--長安(Chang'an),詩人、武官、宰相,,募入軍伍,
 177. 陸暢: 35 首,male,35,?-?,,,唐朝--江南道--湖州(Hu Zhou),詩人,821-835,,
 178. 李遠: 35 首,male,x,?-?,,,唐朝--劍南道--蜀州--晉原(Jinyuan) /  唐朝--關內道--京兆--雲陽(Yunyang),為官者,844-854,常与杜牧、许浑、李商隐、温庭筠等交游， 与许浑齐名,
 179. 唐求: 35 首,male,x,896-?,,,唐朝--劍南道--成都--成都(Chengdu),詩人,,,
 180. 李昌符: 34 首,male,70,824-887,~867,?-891,陇西成纪（今属甘肃泰安）,詩人,,苦吟詩；早年從軍西北；李昌符工诗，与张乔、许棠、郑谷等合称“咸通十哲,
 181. 褚亮: 33 首,male,4,560-647,,,唐朝--江南道--杭州--錢塘(Qiantang),詩人、工於文、為官者,586-638,,
 182. 崔湜: 33 首,male,9,671-713,,,,,684-864?,爺爺是宰相、上官婉兒情人,
 183. 劉希夷: 32 首,male,13,651-679,,,唐朝--河北道--汝州(Ru Zhou),詩人,,,
 184. 高蟾: 32 首,male,x,?-?,,,唐朝--淮南道--揚州(Yang Zhou),詩人、文人,896-?,,
 185. 楊炯: 32 首,male,x,~685,650-?,650-693,唐朝--關內道--華州--華陰(Huayin),為官者,,初唐四傑,
 186. 姚鵠: 32 首,male,55,?-?,,,蜀(Shu),詩人、文人,870-?,,
 187. 邵謁: 32 首,male,x,?-?,~860,,唐朝--嶺南道--韶州--翁源(Wengyuan),詩人、文人,,嶺南五才子之一、得溫庭筠賞識,
