作者,性別,題目,詩,附註
柯崇,男,宮怨其一（塵滿金爐不炷香）,,
柯崇,男,宮怨其二（長門槐柳半蕭疏）,,
任翻,男,宮怨,,
和凝,男,宮詞其八十二（縷金團扇對纖絺）,,
李建勳,男,宮詞（自遠凝旒守上陽）,,
李建勳,男,宮詞（宮門長閉舞衣閒）,,
左偃,男,漢宮詞,,
陳陶,男,續古其十九（漢家三殿色）,,
陳陶,男,續古其二十三（魏宮薛家女）,,
李中,男,宮詞其一（門銷簾垂月影斜）,,
李中,男,宮詞其二（金波寒透水精簾）,,
廖融,男,退宮妓,,
孫元晏,男,梁·分宮女,,
嚴識玄,男,班倢伃,,
張烜,男,婕妤怨,,
鄭鏦,男,玉階怨,,
鄭鏦,男,婕妤怨,,
吳燭,男,銅雀妓,,
周濆,男,重門曲,,
馬逢,男,宮詞其二（玉樓天半起笙歌）,,
蕭意,男,長門失寵,,
王沈,男,婕妤怨,,
吳英秀,男,鸚鵡,,
朱光弼,男,銅雀妓,,
無名氏,,長信宮,,
無名氏,,長門,,
無名氏,,雜詩其三（空賜羅衣不賜恩）,,
李益、法掁,,賦應門照綠苔,,
武后宮人,女,離別難,,
開元宮人,女,袍中詩,,
天寶宮人,女,題洛苑梧葉上（一葉題詩出禁城）,,
天寶宮人,女,題洛苑梧葉上（舊寵悲秋扇）,,
德宗宮人,女,題花葉詩,,
宣宗宮人,女,題紅葉,,
僖宗宮人,女,金鎖詩,,
花蕊夫人,女,宮詞其十三（太虛高閣凌虛殿）,,
花蕊夫人,女,宮詞其十六（六宮官職總新除）,,
花蕊夫人,女,宮詞其五十五（鬥草深宮玉檻前）,,
花蕊夫人,女,宮詞其五十六（太液波清水殿涼）,,
花蕊夫人,女,宮詞其六十二（蕙炷香銷燭影殘）,,
花蕊夫人,女,宮詞其六十七（昭儀侍宴足精神）,,
花蕊夫人,女,宮詞其六十八（後宮阿監裹羅衣）,,
花蕊夫人,女,宮詞其九十（錦鳞躍水出浮萍）,,
花蕊夫人,女,宮詞其一一零（高燒紅燭點銀燈）,,
花蕊夫人,女,宮詞其一三四（小院珠簾著地垂）,,
梁瓊,女,銅雀臺,,
劉雲,男?女?,婕妤怨,,
張琰,男?女?,銅雀臺,,
劉媛,女,長門怨其一（雨滴梧桐秋夜長）,,
劉媛,女,長門怨其二（學畫蛾眉獨出群）,,
田蛾,,攜手曲,,
田蛾,,長信宮,,
皎然,男,銅雀妓,,
皎然,男,長門怨,,
故臺城妓,,金陵詞,,
*以上宮怨詩，全摭自《全唐詩》。,,,,
,,,,
魏奉古,男,長門怨,《補全唐詩》，載《全唐詩外編》,
無名氏,,閨情其四（自處長信宮）,《補全唐詩》，載《全唐詩外編》,
王貞白,男,昭陽落花,《全唐詩補逸》，載《全唐詩外編》,
孫郃,,長信宮,全唐詩續拾、《全唐詩補編》,
孫郃,男,宮詞其一（楊柳宮邊日已斜）,《全唐詩補編》,
孫郃,男,宮詞其二（雙雙紫燕語呢喃）,《全唐詩補編》,
*以上宮怨詩，全摭自《全唐詩補編》。,,,,
全數三四三首,,,,
