作者,詩歌數量,總字符數,平均每首詩字符數,1gram詞彙數,2gram詞彙數,3gram詞彙數,4gram詞彙數
張諤著,12,572,47.67,50,50,50,50
柳中庸著,12,528,44.0,50,50,50,50
楊夔著,12,722,60.17,50,50,50,50
孔德紹著,12,723,60.25,50,50,50,50
薛瑩著,12,385,32.08,50,50,50,50
吳仁璧著,12,473,39.42,50,50,50,50
棲蟾著,12,574,47.83,50,50,50,50
韋處厚著,12,288,24.0,50,50,50,50
薛存誠著,12,861,71.75,50,50,50,50
尹鶚著,12,1059,88.25,50,50,50,50
蔣防著,12,828,69.0,50,50,50,50
柳宗元,12,767,63.92,50,50,50,50
陳標著,12,642,53.5,50,50,50,50
馬懷素著,12,632,52.67,50,50,50,50
崔日用著,12,650,54.17,50,50,50,50
護國著,12,686,57.17,50,50,50,50
徐安貞著,12,619,51.58,50,50,50,50
聶夷中,11,500,45.45,50,50,50,50
崔玨著,11,1325,120.45,50,50,50,50
左偃著,11,356,32.36,50,50,50,50
于鄴著,11,453,41.18,50,50,50,50
冷朝陽著,11,530,48.18,50,50,50,50
水神著,11,1139,103.55,50,50,50,50
王灣著,11,1279,116.27,50,50,50,50
熊皎著,11,644,58.55,50,50,50,50
皎然,11,500,45.45,50,50,50,50
丁仙芝著,11,757,68.82,50,50,50,50
韋蟾著,10,689,68.9,50,50,50,50
盧鴻一著,10,1328,132.8,50,50,50,50
李赤著,10,480,48.0,50,50,50,50
韋元旦著,10,566,56.6,50,50,50,50
鄭錫著,10,476,47.6,50,50,50,50
可止著,10,521,52.1,50,50,50,50
費冠卿著,10,701,70.1,50,50,50,50
常袞著,10,879,87.9,50,50,50,50
包佶,10,312,31.2,50,50,50,50
于濆著,10,580,58.0,50,50,50,50
蔣貽恭著,10,408,40.8,50,50,50,50
鮑溶,10,814,81.4,50,50,50,50
姚系著,10,660,66.0,50,50,50,50
竇叔向著,10,524,52.4,50,50,50,50
崔涯著,9,462,51.33,50,50,50,50
武三思著,9,726,80.67,50,50,50,50
蕭至忠著,9,532,59.11,50,50,50,50
李義府,9,596,66.22,50,50,50,50
江為著,9,353,39.22,50,50,50,50
楊汝士著,9,454,50.44,50,50,50,50
李廓著,9,917,101.89,50,50,50,50
韓愈,9,409,45.44,50,50,50,50
徐堅著,9,561,62.33,50,50,50,50
翁綬著,9,507,56.33,50,50,50,50
盧士衡著,9,500,55.56,50,50,50,50
莊南傑著,9,622,69.11,50,50,50,50
施肩吾,9,286,31.78,50,50,50,50
齊己,9,347,38.56,50,50,50,50
吳商浩著,9,435,48.33,50,50,50,50
李昭象著,9,446,49.56,50,50,50,50
處默著,9,396,44.0,50,50,50,50
王維,9,452,50.22,50,50,50,50
歐陽袞著,9,458,50.89,50,50,50,50
令狐楚,8,670,83.75,50,50,50,50
薛曜著,8,681,85.12,50,50,50,50
鮑防著,8,517,64.62,50,50,50,50
李約著,8,475,59.38,50,50,50,50
韋應物,8,306,38.25,50,50,50,50
王涯,8,348,43.5,50,50,50,50
顧雲著,8,1180,147.5,50,50,50,50
張登著,8,421,52.62,50,50,50,50
王睿著,8,428,53.5,50,50,50,50
元稹,8,1030,128.75,50,50,50,50
張文琮,8,318,39.75,50,50,50,50
盧藏用著,8,740,92.5,50,50,50,50
陳潤著,8,374,46.75,50,50,50,50
李治,8,486,60.75,50,50,50,50
袁暉著,8,456,57.0,50,50,50,50
韓溉著,8,434,54.25,50,50,50,50
王昌齡,8,588,73.5,50,50,50,50
李益,8,283,35.38,50,50,50,50
伊用昌著,8,371,46.38,50,50,50,50
包融著,8,539,67.38,50,50,50,50
李逢吉著,8,526,65.75,50,50,50,50
萬楚著,8,467,58.38,50,50,50,50
王縉著,8,426,53.25,50,50,50,50
李敬方著,8,844,105.5,50,50,50,50
孟賓於著,8,533,66.62,50,50,50,50
薛昭蘊著,8,1006,125.75,50,50,50,50
陳叔達,8,310,38.75,50,50,50,50
魏承班著,8,1114,139.25,50,50,50,50
張仲素,7,288,41.14,50,50,50,50
霍總著,7,361,51.57,50,50,50,50
麹信陵著,7,238,34.0,50,50,50,50
廖融著,7,344,49.14,50,50,50,50
李翱著,7,348,49.71,50,50,50,50
徐仲雅著,7,636,90.86,50,50,50,50
史鳳著,7,238,34.0,50,50,50,50
于季子著,7,286,40.86,50,50,50,50
韋嗣立著,7,748,106.86,50,50,50,50
劉象著,7,414,59.14,50,50,50,50
蔣冽著,7,441,63.0,50,50,50,50
錢珝著,7,2732,390.29,50,50,50,50
李忱,7,141,20.14,50,50,50,50
姚崇著,7,349,49.86,50,50,50,50
劉孝孫,7,360,51.43,50,50,50,50
舒元輿著,7,1278,182.57,50,50,50,50
王駕著,7,260,37.14,50,50,50,50
賀朝著,7,542,77.43,50,50,50,50
閻選著,7,557,79.57,50,50,50,50
宗楚客著,7,376,53.71,50,50,50,50
韋承慶著,7,370,52.86,50,50,50,50
白行簡著,7,465,66.43,50,50,50,50
上官昭容,7,881,125.86,50,50,50,50
朱長文著,7,272,38.86,50,50,50,50
孔紹安,7,260,37.14,50,50,50,50
劉長卿,7,420,60.0,50,50,50,50
孟簡著,7,689,98.43,50,50,50,50
崔元翰著,7,666,95.14,50,50,50,50
李顯,7,525,75.0,50,50,50,50
于良史著,7,310,44.29,50,50,50,50
陳翊著,7,334,47.71,50,50,50,50
鄭損著,6,336,56.0,50,50,50,50
陳存著,6,261,43.5,50,50,50,50
沈頌著,6,298,49.67,50,50,50,50
鄭准著,6,281,46.83,50,50,50,50
王元著,6,259,43.17,50,50,50,50
鄭世翼,6,300,50.0,50,50,50,50
張循之著,6,258,43.0,50,50,50,50
張夫人著,6,303,50.5,50,50,50,50
胡皓著,6,604,100.67,50,50,50,50
王起著,6,503,83.83,50,50,50,50
劉灣著,6,510,85.0,50,50,50,50
張旭著,6,192,32.0,50,50,50,50
任希古著,6,590,98.33,50,50,50,50
詹敦仁著,6,483,80.5,50,50,50,50
王諲著,6,446,74.33,50,50,50,50
劉駕,6,278,46.33,50,50,50,50
崔顥,6,291,48.5,50,50,50,50
鄭絪著,6,319,53.17,50,50,50,50
張袞著,6,216,36.0,50,50,50,50
崔液著,6,582,97.0,50,50,50,50
蜀宮群仙著,6,200,33.33,50,50,50,50
張志和著,6,455,75.83,50,50,50,50
張窈窕著,6,233,38.83,50,50,50,50
義淨著,6,680,113.33,50,50,50,50
許堅2著,6,275,45.83,50,50,50,50
張潮著,6,530,88.33,50,50,50,50
李貞白著,6,172,28.67,50,50,50,50
李昂1,6,205,34.17,50,50,50,50
薛奇童著,6,485,80.83,50,50,50,50
崔護著,6,332,55.33,50,50,50,50
李宣古著,6,452,75.33,50,50,50,50
杜甫,6,836,139.33,50,50,50,50
宋璟著,6,456,76.0,50,50,50,50
閻防著,6,433,72.17,50,50,50,50
王岩著,6,204,34.0,50,50,50,50
馮道著,6,392,65.33,50,50,50,50
慕幽著,6,320,53.33,50,50,50,50
林滋著,6,387,64.5,50,50,50,50
可朋著,6,344,57.33,50,50,50,50
徐賢妃,6,214,35.67,50,50,50,50
嚴武著,6,454,75.67,50,50,50,50
厲玄著,6,326,54.33,50,50,50,50
翁綬,6,84,14.0,50,50,50,50
章八元著,6,308,51.33,50,50,50,50
李衍,6,154,25.67,50,50,50,50
歸仁著,6,324,54.0,50,50,50,50
李舒,6,192,32.0,50,50,50,50
張均著,6,324,54.0,50,50,50,50
徐彥伯,6,216,36.0,50,50,50,50
薛能,6,1104,184.0,50,50,50,50
岑羲著,6,308,51.33,50,50,50,50
牛希濟著,6,789,131.5,50,50,50,50
李沇著,6,534,89.0,50,50,50,50
吳少微著,6,950,158.33,50,50,50,50
徐鍇著,5,230,46.0,50,50,50,50
王勃,5,214,42.8,50,50,50,50
王泠然著,5,485,97.0,50,50,50,50
沈千運著,5,464,92.8,50,50,50,50
湯悅著,5,256,51.2,50,50,50,50
殷遙著,5,236,47.2,50,50,50,50
庾抱,5,200,40.0,50,50,50,50
張彪著,5,394,78.8,50,50,50,50
蔡希寂著,5,348,69.6,50,50,50,50
許堅1著,5,248,49.6,50,50,50,50
袁不約著,5,240,48.0,50,50,50,50
徐九皋著,5,208,41.6,50,50,50,50
李泌著,5,256,51.2,50,50,50,50
盧汝弼著,5,390,78.0,50,50,50,50
戴叔倫,5,190,38.0,50,50,50,50
閻寬著,5,244,48.8,50,50,50,50
梁瓊著,5,238,47.6,50,50,50,50
權龍褒著,5,108,21.6,50,50,50,50
儲光羲,5,320,64.0,50,50,50,50
李頎,5,208,41.6,50,50,50,50
隱巒著,5,229,45.8,50,50,50,50
許景先著,5,662,132.4,50,50,50,50
歐陽玭著,5,254,50.8,50,50,50,50
李商隱,5,170,34.0,50,50,50,50
姚月華著,5,382,76.4,50,50,50,50
于邵著,5,216,43.2,50,50,50,50
晁采著,5,638,127.6,50,50,50,50
潘佑著,5,146,29.2,50,50,50,50
公乘億著,5,303,60.6,50,50,50,50
文丙著,5,237,47.4,50,50,50,50
徐敞著,5,360,72.0,50,50,50,50
楊嗣複著,5,380,76.0,50,50,50,50
耿湋,5,208,41.6,50,50,50,50
劉禕之著,5,336,67.2,50,50,50,50
崔備著,5,360,72.0,50,50,50,50
劉希夷,5,214,42.8,50,50,50,50
王之渙著,5,186,37.2,50,50,50,50
李正封著,5,260,52.0,50,50,50,50
鄭澣著,5,449,89.8,50,50,50,50
牛僧孺著,5,449,89.8,50,50,50,50
李康成著,5,419,83.8,50,50,50,50
黃損著,5,317,63.4,50,50,50,50
崔興宗著,5,204,40.8,50,50,50,50
李程著,5,372,74.4,50,50,50,50
楊乘著,5,492,98.4,50,50,50,50
張聿著,5,357,71.4,50,50,50,50
陳季卿著,5,238,47.6,50,50,50,50
郭元振,5,200,40.0,50,50,50,50
沈傳師著,5,365,73.0,50,50,50,50
楊凝式著,5,150,30.0,50,50,50,50
徐晶著,5,310,62.0,50,50,50,50
潘鹹著,5,235,47.0,50,50,50,50
周匡物著,5,274,54.8,50,50,50,50
慧淨著,5,742,148.4,50,50,50,50
吳越人著,5,368,73.6,50,50,50,50
呂渭著,5,233,46.6,50,50,50,50
鄭綮著,5,158,31.6,50,50,50,50
趙鸞鸞著,5,160,32.0,50,50,50,50
高適,5,223,44.6,50,50,50,50
王無競著,5,305,61.0,50,50,50,50
賈曾著,5,268,53.6,50,50,50,50
袁朗,5,620,124.0,50,50,50,50
王適著,5,373,74.6,50,50,50,50
廖匡圖著,5,265,53.0,50,50,50,50
趙璜著,5,222,44.4,50,50,50,50
雲台峰女仙著,5,115,23.0,50,50,50,50
韓熙載著,5,267,53.4,50,50,50,50
盧綸,5,366,73.2,50,50,50,50
蔣維翰著,4,138,34.5,50,50,50,50
張辭著,4,178,44.5,50,50,50,50
王琚著,4,420,105.0,50,50,50,50
王鐸著,4,219,54.75,50,50,50,50
郎大家宋氏著,4,196,49.0,50,50,50,50
姚揆著,4,232,58.0,50,50,50,50
崔萱著,4,147,36.75,50,50,50,50
鄭鏦著,4,186,46.5,50,50,50,50
崔仲容著,4,188,47.0,50,50,50,50
馬湘著,4,224,56.0,50,50,50,50
李家明著,4,142,35.5,50,50,50,50
馬異著,4,537,134.25,50,50,50,50
善生著,4,192,48.0,50,50,50,50
陸贄著,4,225,56.25,50,50,50,50
鄭璧著,4,200,50.0,50,50,50,50
孟氏著,4,95,23.75,42,49,50,50
劉乙著,4,167,41.75,50,50,50,50
胡令能著,4,142,35.5,50,50,50,50
孟雲卿,4,320,80.0,50,50,50,50
周濆著,4,134,33.5,50,50,50,50
岑文本,4,220,55.0,50,50,50,50
張說,4,432,108.0,50,50,50,50
李嶷著,4,258,64.5,50,50,50,50
鄭愚著,4,116,29.0,50,50,50,50
步非煙著,4,136,34.0,50,50,50,50
孫棨著,4,244,61.0,50,50,50,50
孫昌胤著,4,256,64.0,50,50,50,50
吉師老著,4,176,44.0,50,50,50,50
劉允濟著,4,686,171.5,50,50,50,50
張柬之著,4,294,73.5,50,50,50,50
張鼎著,4,238,59.5,50,50,50,50
駱賓王,4,450,112.5,50,50,50,50
張為著,4,293,73.25,50,50,50,50
謝良輔著,4,130,32.5,50,50,50,50
孫偓著,4,152,38.0,50,50,50,50
何希堯著,4,134,33.5,50,50,50,50
狄煥著,4,150,37.5,50,50,50,50
李觀著,4,265,66.25,50,50,50,50
蔣渙著,4,240,60.0,50,50,50,50
溫憲著,4,168,42.0,50,50,50,50
韓常侍著,4,130,32.5,50,50,50,50
鹿虔扆著,4,355,88.75,50,50,50,50
李絳著,4,354,88.5,50,50,50,50
元季川著,4,266,66.5,50,50,50,50
姚康著,4,240,60.0,50,50,50,50
柳棠著,4,144,36.0,50,50,50,50
皇甫澈著,4,288,72.0,50,50,50,50
