排名,人物,提及次數,相關詩歌數,關聯人物數
259,桃花夫人,3,3,0
260,李嘉佑,3,3,0
261,張觀,3,3,0
262,盧征,3,3,0
263,張子容,3,3,0
264,謝良輔,3,3,11
265,賈至,3,3,1
266,閻防,3,3,0
267,張夫人,3,3,0
268,鄭穀,3,3,0
269,楊諫,3,3,0
270,韓翃,3,3,0
271,玄寶,3,3,0
272,柳氏,3,3,0
273,趙宗儒,3,3,0
274,令狐楚,3,3,1
275,薛存誠,3,3,1
276,鄭損,3,3,0
277,丘丹,3,3,11
278,常建,3,3,0
279,武元衡,3,3,3
280,可止,3,3,5
281,楊收,3,3,0
282,李德裕,3,3,1
283,劉言史,3,3,1
284,盧殷,3,3,3
285,鄭僕射,3,3,0
286,施肩吾,3,3,0
287,馬周,3,3,1
288,石倚,3,3,0
289,李陽冰,3,3,2
290,彭伉,3,3,1
291,李節,3,3,1
292,滕邁,3,3,0
293,高蟾,3,3,2
294,趙嘏,3,3,1
295,鮑溶,3,3,0
296,鄭常,3,3,0
297,魏扶,3,3,0
298,韋蟾,3,3,1
299,高湘,3,3,0
300,許大,3,3,1
301,白氏,3,3,0
302,黃頗,3,3,0
303,王福娘,3,3,0
304,令狐綯,3,3,1
305,吳融,3,3,0
306,高駢,3,3,1
307,司空圖,3,3,0
308,李洞,3,3,3
309,鄭仁表,3,3,1
310,孟賓于,3,3,0
311,廖融,3,3,0
312,鄭概,3,3,12
313,鄭准,3,3,0
314,青城丈人,3,3,0
315,高輦,3,3,0
316,曇域,3,3,1
317,王軒,3,3,1
318,蕭曠,3,3,0
319,鄭愔,2,2,18
320,李顯,2,2,18
321,李乂,2,2,15
322,劉晃,2,2,0
323,崔日知,2,2,0
324,李建,2,2,5
325,張義方,2,2,4
326,李得,2,2,0
327,王烈,2,2,1
328,賀遂涉,2,2,0
329,周萬,2,2,0
330,源幹曜,2,2,2
331,王傳,2,2,0
332,蔡孚,2,2,0
333,李應,2,2,4
334,慕幽,2,2,2
335,澹交,2,2,0
336,王表,2,2,0
337,趙冬曦,2,2,1
338,朱使欣,2,2,0
339,孫合,2,2,1
340,張九齡,2,2,0
341,祖詠,2,2,0
342,張均,2,2,0
343,李頎,2,2,1
344,謝陶,2,2,0
345,李花開,2,2,1
346,李回,2,2,0
347,若虛,2,2,0
348,王迥,2,2,1
349,崔宗,2,2,2
350,崔宗之,2,2,2
351,孔氏,2,2,0
352,李願,2,2,0
353,楊淩,2,2,0
354,裴說,2,2,0
355,護國,2,2,0
356,智遠,2,2,0
357,徐氏,2,2,0
358,高衢,2,2,0
359,包何,2,2,0
360,陸贄,2,2,0
361,竇叔向,2,2,0
362,劉太真,2,2,0
363,元晟,2,2,0
364,沈千運,2,2,0
365,房千里,2,2,0
366,張賈,2,2,1
367,崔邠,2,2,0
368,裴延,2,2,0
369,劉濟,2,2,0
370,韓弇,2,2,0
371,戴叔倫,2,2,0
372,李續,2,2,1
373,杜元穎,2,2,0
374,楊巨源,2,2,0
375,李峴,2,2,0
376,李韶,2,2,0
377,潘孟陽,2,2,0
378,盧拱,2,2,0
379,崔立之,2,2,0
380,吳武陵,2,2,1
381,江為,2,2,0
382,于鵠,2,2,0
383,含曦,2,2,0
384,徐希仁,2,2,0
385,楊敬之,2,2,0
386,張又新,2,2,0
387,吳丹,2,2,0
388,嚴震,2,2,1
389,李義府,2,2,0
390,徐凝,2,2,0
391,歐陽詹,2,2,0
392,白敏中,2,2,0
393,韋應物,2,2,1
394,伶人,2,2,0
395,李正封,2,2,1
396,歐陽袞,2,2,0
397,潘緯,2,2,1
398,陳政,2,2,0
399,李晝,2,2,0
400,王丘,2,2,1
401,李甘,2,2,0
402,邢群,2,2,0
403,嚴惲,2,2,0
404,鄭史,2,2,0
405,李遠,2,2,0
406,元孚,2,2,1
407,韋丹,2,2,1
408,鄭愚,2,2,0
409,溫庭筠,2,2,1
410,王鐸,2,2,0
411,王衍,2,2,0
412,南卓,2,2,1
413,淡然,2,2,0
414,鄭熏,2,2,0
415,劉谷,2,2,0
416,李商隱,2,2,1
417,薛逢,2,2,0
418,姚岩傑,2,2,2
419,子蘭,2,2,0
420,章碣,2,2,0
421,袁皓,2,2,0
422,處默,2,2,0
423,丘光庭,2,2,0
424,錢鏐,2,2,1
425,陸子,2,2,0
426,許彬,2,2,0
427,楊夔,2,2,0
428,盧延讓,2,2,0
429,王渙,2,2,0
430,李昭象,2,2,0
431,林寬,2,2,0
432,王貞白,2,2,0
433,織錦人,2,2,0
434,任華,2,2,3
435,李昉,2,2,0
436,劉象,2,2,0
437,李助,2,2,0
438,杜光庭,2,2,0
439,翁宏,2,2,0
440,徐侃,2,2,1
441,吳筠,2,2,14
442,楊憑,2,2,5
443,呂渭,2,2,11
444,劉蕃,2,2,11
445,李絳,2,2,4
446,張賁,2,2,2
447,鄭遨,2,2,3
448,楊達,2,2,0
449,周樸,2,2,1
450,羅鄴,2,2,0
451,張道古,2,2,0
452,樊夫人,2,2,1
453,卓英英,2,2,0
454,安鳳,2,2,1
455,歐陽詢,2,2,0
456,裴談,2,2,0
457,孫光憲,2,2,0
458,宗楚客,1,1,15
459,馬懷素,1,1,15
460,盧藏用,1,1,15
461,劉憲,1,1,15
462,蘇頲,1,1,15
463,趙彥昭,1,1,15
464,陸景初,1,1,15
465,閻朝隱,1,1,5
466,薛令之,1,1,0
467,李亨,1,1,1
468,李昂1,1,1,1
469,李忱,1,1,0
470,狄仁傑,1,1,0
471,張雲容,1,1,1
472,王景,1,1,4
473,李建勳,1,1,4
474,辛學士,1,1,0
475,辨才,1,1,0
476,韓思彥,1,1,0
477,賀遂亮,1,1,0
478,陳元光,1,1,0
479,元寂,1,1,0
480,劉侍讀,1,1,0
481,韋承慶,1,1,0
482,蘇味道,1,1,0
483,蘇綰,1,1,0
484,張昌宗,1,1,0
485,李華,1,1,0
486,員半千,1,1,0
487,盧照鄰,1,1,2
488,宇文融,1,1,0
489,王光庭,1,1,0
490,盧崇道,1,1,1
491,郭元振,1,1,1
492,李伯魚,1,1,0
493,司馬都,1,1,1
494,王熊,1,1,0
495,梁知微,1,1,0
496,胡皓,1,1,0
497,富嘉謨,1,1,0
498,喬知之,1,1,0
499,張錫,1,1,0
500,姚向,1,1,0
501,孫翃,1,1,0
502,常浩,1,1,0
503,王韞秀,1,1,0
504,可朋,1,1,0
505,儲光羲,1,1,0
506,易思,1,1,0
507,萬楚,1,1,0
508,萬齊融,1,1,0
509,崔顥,1,1,1
510,顧朝陽,1,1,0
511,竇參,1,1,0
512,沈東美,1,1,0
513,劉晏,1,1,0
514,李延陵,1,1,1
515,謝太虛,1,1,0
516,楊于陵,1,1,1
517,李康成,1,1,0
518,修雅,1,1,0
519,鄒象先,1,1,0
520,張翬,1,1,0
521,房管,1,1,2
522,王炎,1,1,0
523,許宣平,1,1,0
524,鄭述誠,1,1,0
525,李胄,1,1,0
526,黎逢,1,1,0
527,悟清,1,1,0
528,熊曜,1,1,0
529,平曾,1,1,0
530,張直,1,1,0
531,殷寅,1,1,0
532,張惟儉,1,1,0
533,王之渙,1,1,1
534,郭密之,1,1,1
535,孫欣,1,1,0
536,謝偃,1,1,0
537,張立本女,1,1,1
538,張立,1,1,1
539,蘇晉,1,1,3
540,鄭虔,1,1,0
541,呂太一,1,1,0
542,蘇渙,1,1,0
543,薛瑤,1,1,0
544,李京,1,1,0
545,陳季,1,1,0
546,景池,1,1,0
547,範朝,1,1,0
548,魏征,1,1,0
549,畢耀,1,1,1
550,于逖,1,1,1
551,奚賈,1,1,0
552,郭鄖,1,1,0
553,張繼,1,1,0
554,楊郇伯,1,1,0
555,皇甫曙,1,1,1
556,王翰,1,1,0
557,符載,1,1,0
558,韋夏卿,1,1,1
559,梁補闕,1,1,0
560,張眾甫,1,1,0
561,張正元,1,1,0
562,劉贊,1,1,0
563,張謂,1,1,1
564,古之奇,1,1,0
565,郭良,1,1,0
566,竇牟,1,1,0
567,柳曾,1,1,1
568,張弘靖,1,1,0
569,李吉甫,1,1,0
570,李逸,1,1,0
571,張柬之,1,1,0
572,王縉,1,1,0
573,蕭意,1,1,0
574,陳京,1,1,0
575,霍總,1,1,0
576,李約,1,1,0
577,馮宿,1,1,0
578,尚志,1,1,0
579,權德輿,1,1,1
580,李虞仲,1,1,1
581,李虞,1,1,1
582,侯氏,1,1,2
583,李宗閔,1,1,0
584,夏方慶,1,1,0
585,韋檢,1,1,0
586,李密,1,1,0
587,張白,1,1,1
588,王播,1,1,1
589,牛僧孺,1,1,0
590,於鵠,1,1,0
591,劉複,1,1,0
592,朝衡,1,1,0
593,張碧,1,1,0
594,朱華,1,1,0
595,盧貞,1,1,0
596,元結,1,1,0
597,李渤,1,1,0
598,王儲,1,1,0
599,褚遂良,1,1,0
600,馬異,1,1,2
601,陳述,1,1,0
602,劉猛,1,1,0
603,吳士矩,1,1,1
604,庾敬休,1,1,0
605,常雅,1,1,0
606,劉采春,1,1,0
607,劉辟,1,1,1
608,王鑒,1,1,0
609,王績,1,1,0
610,熊孺登,1,1,0
611,周元範,1,1,0
612,崔何,1,1,1
613,蕭華,1,1,0
614,徐浩,1,1,0
615,林傑,1,1,0
616,張何,1,1,0
617,張懷,1,1,0
618,崔膺,1,1,0
619,朱晝,1,1,0
620,席夔,1,1,0
621,竇鞏,1,1,0
622,王損之,1,1,0
623,鄭玉,1,1,0
624,蕭建,1,1,0
625,賈謨,1,1,0
626,高越,1,1,1
627,崔玄亮,1,1,0
628,錢可複,1,1,0
629,王玄,1,1,0
630,劉叉,1,1,0
631,楊汝士,1,1,0
632,蕭靜,1,1,0
633,崔涯,1,1,0
634,劉魯風,1,1,1
635,武翊黃,1,1,0
636,孟簡,1,1,0
637,陳去疾,1,1,0
638,蔣防,1,1,0
639,李兼,1,1,0
640,孟遲,1,1,1
641,蒯希逸,1,1,0
642,殷潛之,1,1,0
643,李播,1,1,0
644,契盈,1,1,0
645,劉皋,1,1,0
646,楊發,1,1,0
647,崔玨,1,1,0
648,房白,1,1,0
649,宋華,1,1,0
650,李肱,1,1,0
651,陳翊,1,1,0
652,潘咸,1,1,0
653,胡權,1,1,0
654,盧肇,1,1,0
655,李景讓,1,1,1
656,韋皋,1,1,0
657,崔璞,1,1,0
658,楊乘,1,1,1
659,柳逢,1,1,0
660,潘圖,1,1,0
661,石貫,1,1,0
662,劉耕,1,1,0
663,于興宗,1,1,0
664,蔣氏,1,1,0
665,盧順之,1,1,0
666,盛小叢,1,1,0
667,賀蘭朋吉,1,1,0
668,歸登,1,1,0
669,靈准,1,1,0
670,朱休,1,1,0
671,王沈,1,1,0
672,徐商,1,1,0
673,曹鄴,1,1,0
674,吳秘,1,1,0
675,趙鴻,1,1,1
676,賈馳,1,1,0
677,儲嗣宗,1,1,0
678,孫定,1,1,0
679,李昌符,1,1,0
680,崔璐,1,1,0
681,李縠,1,1,0
682,崔道融,1,1,0
683,李山甫,1,1,0
684,吳兢,1,1,2
685,劉滄,1,1,0
686,僧鸞,1,1,0
687,張隱,1,1,1
688,志定,1,1,0
689,周賀,1,1,0
690,孫蜀,1,1,0
691,公乘億,1,1,0
692,劉真,1,1,1
693,鄭畋,1,1,1
694,裴廷裕,1,1,0
695,李嶼,1,1,0
696,侯道華,1,1,0
697,崔江,1,1,0
698,崔國輔,1,1,0
699,李搏,1,1,1
700,張蠙,1,1,0
701,林嵩,1,1,0
702,柳渾,1,1,0
703,王延彬,1,1,0
704,張昭,1,1,0
705,李深,1,1,0
706,裴贄,1,1,0
707,翁承贊,1,1,0
708,大愚,1,1,0
709,朱元,1,1,0
710,杜常,1,1,0
711,和凝,1,1,0
712,湯悅,1,1,0
713,韓垂,1,1,0
714,廖凝,1,1,0
715,潘佑,1,1,0
716,蓮花妓,1,1,0
717,高嶠,1,1,0
718,陳昭,1,1,0
719,鐘謨,1,1,0
720,陳彥,1,1,0
721,包穎,1,1,0
722,楊顏,1,1,0
723,韓定辭,1,1,1
724,馬彧,1,1,0
725,宋齊丘,1,1,0
726,伍喬,1,1,0
727,劉乙,1,1,0
728,範夜,1,1,0
729,伍彬,1,1,0
730,徐夤,1,1,0
731,無名氏,1,1,0
732,張紘,1,1,0
733,吳圓,1,1,0
734,李曜,1,1,0
735,曹生,1,1,0
736,曹文姬,1,1,0
737,樊珣,1,1,10
738,沈仲昌,1,1,8
739,賈弇,1,1,4
740,韋執中,1,1,2
741,法振,1,1,1
742,李景儉,1,1,2
743,呂溫,1,1,2
744,柳公綽,1,1,3
745,崔備,1,1,3
746,庾承宣,1,1,4
747,楊嗣複,1,1,4
748,軒轅彌明,1,1,0
749,李真,1,1,3
750,安守範,1,1,1
751,楊鼎夫,1,1,1
752,知業,1,1,2
753,潘雍,1,1,0
754,孫棨,1,1,0
755,趙光遠,1,1,0
756,裴思謙,1,1,0
757,王觀,1,1,0
758,蕭翼,1,1,0
759,惟審,1,1,0
760,陶翰,1,1,0
761,穆寂,1,1,0
762,盧鄴,1,1,0
763,王季文,1,1,0
764,荊浩,1,1,0
765,曇翼,1,1,0
766,劉商,1,1,0
767,李赤,1,1,1
768,王滌,1,1,1
769,杜兼,1,1,0
770,葉季良,1,1,3
771,李景伯,1,1,1
772,周朴,1,1,2
773,郭子儀,1,1,2
774,姚崇,1,1,2
775,王轂,1,1,0
776,韓偓,1,1,0
777,盧懷慎,1,1,1
778,陳沆,1,1,0
779,幹康,1,1,0
780,劉軻,1,1,1
781,棲蟾,1,1,0
782,無則,1,1,0
783,裴航,1,1,1
784,張辭,1,1,0
785,藍采和,1,1,0
786,太乙真君,1,1,0
787,太白山玄士,1,1,0
788,王仙仙,1,1,0
789,塚中人,1,1,0
790,馬植,1,1,0
791,唐晅,1,1,1
792,李章武,1,1,1
793,李章,1,1,1
794,原陵老翁,1,1,0
795,嚴含質,1,1,1
796,柳藏經,1,1,0
797,孫長史女,1,1,2
798,梁寶,1,1,0
799,釋元康,1,1,0
800,蕭嵩,1,1,1
801,邵景,1,1,1
802,韋鏗,1,1,0
803,趙謙光,1,1,1
804,柳棠,1,1,0
805,權龍褒,1,1,1
806,高力士,1,1,0
807,劉炎,1,1,0
808,張魯封,1,1,0
809,楊鸞,1,1,0
810,周顓,1,1,0
811,程紫霄,1,1,0
812,僧法軌,1,1,2
813,裴休,1,1,0
814,崔澹,1,1,1
815,湛賁,1,1,1
816,裴諝,1,1,0
817,黃山隱,1,1,0
818,冥吏,1,1,0
819,張翱,1,1,0
820,崔成甫,1,1,0
821,盧求,1,1,0
822,段文昌,1,1,0
823,李祜,1,1,1
824,孫咸,1,1,1
825,崔沔,1,1,1
826,曹著,1,1,0
827,李敬玄,1,1,0
828,夷陵女郎,1,1,0
829,陶雍,1,1,0
830,魏承班,1,1,0
