author,title,gender,n_chars,form,G1_宮怨詩,G1m_代言,G2_女詩人,G3_女性自述,G3d_宮詞記事,G3l_閨怨抒情
吳英秀,鸚鵡,男,28,七言,1,1,0,0,0,0
吳融,上陽宮辭,男,56,七言,1,1,0,0,0,0
周濆,重門曲,,28,七言,1,0,0,0,0,0
和凝,宮詞百首,男,2797,七言,1,1,0,0,0,0
喬備,長門怨,男,40,五言,1,1,0,0,0,0
喬知之,銅雀妓,男,40,五言,1,1,0,0,0,0
喬知之,銅雀妓,男,40,五言,1,1,0,0,0,0
喬知之,長信宮中樹,男,39,五言,1,1,0,0,0,0
嚴識玄,班婕妤,,40,五言,1,0,0,0,0,0
嚴識玄,班婕妤,,40,五言,1,0,0,0,0,0
天寶宮人,題洛苑梧葉上,女,20,五言,1,0,1,1,1,0
孟浩然,長樂宮,男,56,七言,1,1,0,0,0,0
孟遲,宮人斜,男,28,七言,1,1,0,0,0,0
孟遲,長信宮,男,28,七言,1,1,0,0,0,0
宣宗宮人,題紅葉,女,20,五言,1,0,1,1,1,0
岑參,長門怨,,40,五言,1,0,0,0,0,0
岑參,長門怨,,40,五言,1,0,0,0,0,0
崔國輔,怨詞二首,男,40,五言,1,1,0,0,0,0
崔國輔,秦女卷衣,男,20,五言,1,1,0,0,0,0
崔國輔,長信草,男,20,五言,1,1,0,0,0,0
崔湜,婕妤怨,男,40,五言,1,1,0,0,0,0
崔湜,婕妤怨,男,40,五言,1,1,0,0,0,0
崔道融,班婕妤,男,20,五言,1,1,0,0,0,0
崔道融,銅雀妓二首,男,40,五言,1,1,0,0,0,0
崔道融,長門怨,男,20,五言,1,1,0,0,0,0
崔道融,長門怨,男,28,七言,1,1,0,0,0,0
崔顥,七夕,男,56,七言,1,1,0,0,0,0
崔顥,行路難,男,17,雜言,1,1,0,0,0,0
崔顥,行路難,男,143,七言,1,1,0,0,0,0
崔顥,邯鄲宮人怨,男,364,七言,1,1,0,0,0,0
崔顥,長門怨,男,40,五言,1,1,0,0,0,0
左偃,漢宮詞,男,20,五言,1,1,0,0,0,0
廖融,退宮妓,,56,七言,1,0,0,0,0,0
張仲素,思君恩,男,20,五言,1,1,0,0,0,0
張循之,長門怨,,40,五言,1,0,0,0,0,0
張烜,婕妤怨,男,40,五言,1,1,0,0,0,0
張烜,婕妤怨,男,40,五言,1,1,0,0,0,0
張琰,銅雀台,男?女?,38,七言,1,0,0,0,0,0
張碧,古意,男,28,七言,1,1,0,0,0,0
張祜,宮詞二首,男,40,五言,1,1,0,0,0,0
張祜,折楊柳,男,40,五言,1,1,0,0,0,0
張祜,折楊柳,男,40,五言,1,1,0,0,0,0
張祜,折楊柳枝二首,男,56,七言,1,1,0,0,0,0
張祜,牆頭花二首,男,40,五言,1,1,0,0,0,0
張祜,贈內人,男,28,七言,1,1,0,0,0,0
張祜,退宮人二首,,56,七言,1,0,0,0,0,0
張祜,長門怨,男,28,七言,1,1,0,0,0,0
張祜,長門怨,男,28,七言,1,1,0,0,0,0
張籍,吳宮怨,男,98,七言,1,1,0,0,0,0
張籍,宿山祠,男,28,七言,1,1,0,0,0,0
張籍,楚妃怨,男,28,七言,1,1,0,0,0,0
張籍,白頭吟,男,108,七言,1,1,0,0,0,0
張籍,舊宮人,男,40,五言,1,1,0,0,0,0
張籍,送宮人入道,男,40,五言,1,1,0,0,0,0
張籍,酬朱慶餘,,28,七言,1,0,0,0,0,0
張籍,離宮怨,男,28,七言,1,1,0,0,0,0
張蠙,宮詞,男,28,七言,1,1,0,0,0,0
徐凝,上陽紅葉,男,28,七言,1,1,0,0,0,0
徐凝,漢宮曲,男,28,七言,1,1,0,0,0,0
徐夤,上陽宮詞,,56,七言,1,0,0,0,0,0
徐夤,李夫人二首,男,56,七言,1,1,0,0,0,0
徐彥伯,婕妤,男,40,五言,1,1,0,0,0,0
徐賢妃,長門怨,女,40,五言,1,0,1,1,0,1
徐賢妃,長門怨,女,40,五言,1,0,1,1,0,1
德宗宮人,題花葉詩,女,20,五言,1,0,1,1,1,0
戎昱,閨情,男,40,五言,1,1,0,0,0,0
戴叔倫,宮詞,,56,七言,1,0,0,0,0,0
戴叔倫,後宮曲,男,20,五言,1,1,0,0,0,0
戴叔倫,漢宮人入道,,56,七言,1,0,0,0,0,0
戴叔倫,獨不見,男,50,五言,1,1,0,0,0,0
戴叔倫,獨不見,男,50,五言,1,1,0,0,0,0
戴叔倫,長門怨,,40,五言,1,0,0,0,0,0
戴叔倫,長門怨,,40,五言,1,0,0,0,0,0
施肩吾,帝宮詞,男,28,七言,1,1,0,0,0,0
曹鄴,代班姬,男,70,五言,1,1,0,0,0,0
曹鄴,恃寵,男,70,五言,1,1,0,0,0,0
曹鄴,金井怨,男,20,五言,1,1,0,0,0,0
朱光弼,銅雀妓,男,28,七言,1,1,0,0,0,0
朱光弼,銅雀妓,男,20,五言,1,1,0,0,0,0
朱慶餘,宮詞,男,28,七言,1,1,0,0,0,0
朱放,銅雀妓,男,20,五言,1,1,0,0,0,0
朱放,銅雀妓,男,20,五言,1,1,0,0,0,0
李中,宮詞二首,男,56,七言,1,1,0,0,0,0
李咸用,婕妤怨,男,28,七言,1,1,0,0,0,0
李商隱,促漏,男,56,七言,1,1,0,0,0,0
李商隱,和韓錄事送宮人入道,,56,七言,1,0,0,0,0,0
李商隱,宮辭,男,28,七言,1,1,0,0,0,0
李商隱,效長吉,男,30,五言,1,1,0,0,0,0
李商隱,槿花,,28,七言,1,0,0,0,0,0
李商隱,槿花二首,,80,五言,1,0,0,0,0,0
李商隱,深宮,男,56,七言,1,1,0,0,0,0
李建勳,宮詞,,56,七言,1,0,0,0,0,0
李建勳,宮詞,,28,七言,1,0,0,0,0,0
李白,中山孺子妾歌,男,32,五言,1,1,0,0,0,0
李白,中山孺子妾歌,男,66,五言,1,1,0,0,0,0
李白,古風,,3750,五言,1,0,0,0,0,0
李白,妾薄命,男,80,五言,1,1,0,0,0,0
李白,妾薄命,男,80,五言,1,1,0,0,0,0
李白,怨情,男,56,七言,1,1,0,0,0,0
李白,怨情,男,20,五言,1,1,0,0,0,0
李白,怨歌行,,90,五言,1,0,0,0,0,0
李白,怨歌行,,90,五言,1,0,0,0,0,0
李白,懼讒,男,50,五言,1,1,0,0,0,0
李白,玉階怨,男,20,五言,1,1,0,0,0,0
李白,玉階怨,男,20,五言,1,1,0,0,0,0
李白,長信宮,男,40,五言,1,1,0,0,0,0
李白,長門怨二首,男,56,七言,1,1,0,0,0,0
李白,長門怨二首,男,56,七言,1,1,0,0,0,0
李百藥,妾薄命,男,40,五言,1,1,0,0,0,0
李百藥,妾薄命,男,40,五言,1,1,0,0,0,0
李益,宮怨,男,28,七言,1,1,0,0,0,0
李益,宮怨,男,28,七言,1,1,0,0,0,0
李端,妾薄命,男,84,五言,1,1,0,0,0,0
李端,妾薄命,男,20,五言,1,1,0,0,0,0
李端,妾薄命三首,男,94,五言,1,1,0,0,0,0
李端,長門怨,,28,七言,1,0,0,0,0,0
李華,長門怨,男,40,五言,1,1,0,0,0,0
李華,長門怨,男,40,五言,1,1,0,0,0,0
李賀,三月,男,70,七言,1,1,0,0,0,0
李賀,三月過行宮,男,28,七言,1,1,0,0,0,0
李賀,宮娃歌,,83,七言,1,0,0,0,0,0
李賀,感諷五首,男,310,五言,1,1,0,0,0,0
李賀,感諷六首,男,329,五言,1,1,0,0,0,0
李賀,謠俗,男,40,五言,1,1,0,0,0,0
李賀,馮小憐,男,40,五言,1,1,0,0,0,0
杜審言,賦得妾薄命,男,40,五言,1,1,0,0,0,0
杜牧,出宮人二首,,56,七言,1,0,0,0,0,0
杜牧,奉陵宮人,男,28,七言,1,1,0,0,0,0
杜牧,宮人塚,男,28,七言,1,1,0,0,0,0
杜牧,月,男,28,七言,1,1,0,0,0,0
杜牧,洛中二首,男,56,七言,1,1,0,0,0,0
杜牧,洛中監察病假滿，送韋楚老拾遺歸朝,男,56,七言,1,1,0,0,0,0
杜牧,洛中送冀處士東游,男,310,五言,1,1,0,0,0,0
杜牧,秋夕,男,28,七言,1,1,0,0,0,0
杜牧,秋夕有懷,男,40,五言,1,1,0,0,0,0
杜牧,簾,男,60,五言,1,1,0,0,0,0
杜荀鶴,春宮怨,男,40,五言,1,1,0,0,0,0
杜荀鶴,春宮怨,男,40,五言,1,1,0,0,0,0
柯崇,宮怨,男,56,七言,1,1,0,0,0,0
柯崇,宮怨二首,男,56,七言,1,1,0,0,0,0
梁瓊,銅雀台,女,40,五言,1,0,1,1,0,1
楊巨源,月宮詞,男,168,七言,1,1,0,0,0,0
楊衡,長門怨,男,42,七言,1,1,0,0,0,0
權德輿,宮人斜絕句,男,28,七言,1,1,0,0,0,0
歐陽詹,銅雀妓,男,30,五言,1,1,0,0,0,0
歐陽詹,銅雀妓,男,40,五言,1,1,0,0,0,0
武后宮人,離別難,女,40,五言,1,0,1,1,0,1
段成式,漢宮詞二首,男,56,七言,1,1,0,0,0,0
殷堯藩,宮人入道,,56,七言,1,0,0,0,0,0
殷堯藩,宮詞,男,56,七言,1,1,0,0,0,0
殷堯藩,漢宮詞三首,男,84,七言,1,1,0,0,0,0
江妃,謝賜珍珠,女,28,七言,1,0,1,1,0,1
汪遵,銅雀台,男,28,七言,1,1,0,0,0,0
沈佺期,古歌,男,12,七言,1,1,0,0,0,0
沈佺期,古歌,男,84,七言,1,1,0,0,0,0
沈佺期,銅雀台,男,40,五言,1,1,0,0,0,0
沈佺期,長門怨,男,40,五言,1,1,0,0,0,0
沈佺期,長門怨,男,40,五言,1,1,0,0,0,0
沈佺期,鳳簫曲,男,104,七言,1,1,0,0,0,0
溫庭筠,楊柳八首,男,224,七言,1,1,0,0,0,0
溫庭筠,楊柳枝,男,224,七言,1,1,0,0,0,0
無名氏,長信宮,,56,七言,1,0,0,0,0,0
無名氏,長門,,40,五言,1,0,0,0,0,0
無名氏,雜詩,,532,七言,1,0,0,0,0,0
王勃,銅雀妓,男,40,五言,1,1,0,0,0,0
王勃,銅雀妓二首,男,80,五言,1,1,0,0,0,0
王建,古宮怨,男,28,七言,1,1,0,0,0,0
王建,宮人斜,男,28,七言,1,1,0,0,0,0
王建,宮詞一百首,,2856,七言,1,0,0,0,0,0
王建,舊宮人,男,28,七言,1,1,0,0,0,0
王建,送宮人入道,,56,七言,1,0,0,0,0,0
王建,銅雀台,男,93,七言,1,1,0,0,0,0
王建,長門,,28,七言,1,0,0,0,0,0
王建,長門燭,,28,七言,1,0,0,0,0,0
王昌齡,春宮曲,男,28,七言,1,1,0,0,0,0
王昌齡,西宮春怨,男,28,七言,1,1,0,0,0,0
王昌齡,西宮秋怨,,28,七言,1,0,0,0,0,0
王昌齡,長信秋詞五首,,140,七言,1,0,0,0,0,0
王沈,婕妤怨,男,28,七言,1,1,0,0,0,0
王沈,婕妤怨,男,28,七言,1,1,0,0,0,0
王涯,宮詞三十首,男,756,七言,1,1,0,0,0,0
王涯,思君恩,男,20,五言,1,1,0,0,0,0
王渙,惆悵詩十二首,男,336,七言,1,1,0,0,0,0
王無競,銅雀台,男,14,七言,1,1,0,0,0,0
王無競,銅雀台,男,60,五言,1,1,0,0,0,0
王維,班婕妤三首,,60,五言,1,0,0,0,0,0
王維,班婕妤三首,,60,五言,1,0,0,0,0,0
王翰,古蛾眉怨,男,283,七言,1,1,0,0,0,0
王諲,後庭怨,男,185,七言,1,1,0,0,0,0
王諲,長信怨,男,40,五言,1,1,0,0,0,0
王諲,長信怨,男,40,五言,1,1,0,0,0,0
王貞白,折楊柳三首,,84,七言,1,0,0,0,0,0
王貞白,長門怨二首,,80,五言,1,0,0,0,0,0
王適,銅雀妓,男,40,五言,1,1,0,0,0,0
王適,銅雀妓,男,30,五言,1,1,0,0,0,0
白居易,上陽白髮人－湣怨曠也,男,268,七言,1,1,0,0,0,0
白居易,太行路－借夫婦以諷君臣之不終也,,182,七言,1,0,0,0,0,0
白居易,後宮詞,男,28,七言,1,1,0,0,0,0
白居易,後宮詞,男,28,七言,1,1,0,0,0,0
白居易,怨詞,男,20,五言,1,1,0,0,0,0
白居易,春題華陽觀,,28,七言,1,0,0,0,0,0
白居易,昭君怨,男,14,七言,1,1,0,0,0,0
白居易,昭君怨,男,56,七言,1,1,0,0,0,0
白居易,陵園妾－憐幽閉也,,215,七言,1,0,0,0,0,0
皇甫冉,婕妤怨,男,40,五言,1,1,0,0,0,0
皇甫冉,婕妤怨,男,40,五言,1,1,0,0,0,0
皇甫冉,婕妤春怨,男,20,五言,1,1,0,0,0,0
皇甫冉,秋怨,男,20,五言,1,1,0,0,0,0
皎然,銅雀妓,男,20,五言,1,1,0,0,0,0
皎然,銅雀妓,男,28,七言,1,1,0,0,0,0
皎然,長門怨,男,28,七言,1,1,0,0,0,0
皎然,長門怨,男,28,七言,1,1,0,0,0,0
皮日休,古宮詞三首,男,60,五言,1,1,0,0,0,0
盧汝弼,薄命妾,男,56,七言,1,1,0,0,0,0
盧綸,過玉真公主影殿,,28,七言,1,0,0,0,0,0
盧綸,長門怨,男,20,五言,1,1,0,0,0,0
盧綸,長門怨,男,20,五言,1,1,0,0,0,0
祖詠,古意二首,男,140,五言,1,1,0,0,0,0
竇鞏,宮人斜,男,28,七言,1,1,0,0,0,0
章碣,東都望幸,男,28,七言,1,1,0,0,0,0
羅鄴,上陽宮,男,56,七言,1,1,0,0,0,0
羅鄴,宮中二首,男,56,七言,1,1,0,0,0,0
羅隱,宮詞,男,28,七言,1,1,0,0,0,0
羅隱,銅雀台,男,40,五言,1,1,0,0,0,0
羅隱,銅雀台,男,28,七言,1,1,0,0,0,0
翁綬,婕妤怨,男,14,七言,1,1,0,0,0,0
翁綬,婕妤怨,男,56,七言,1,1,0,0,0,0
耿湋,長門怨,男,20,五言,1,1,0,0,0,0
胡曾,薄命妾,男,56,七言,1,1,0,0,0,0
胡曾,銅雀台,男,28,七言,1,1,0,0,0,0
花蕊夫人,宮詞,女,4396,七言,1,0,1,1,1,0
蕭意,長門失寵,男,20,五言,1,1,0,0,0,0
薛奇童,吳聲子夜歌,男,20,五言,1,1,0,0,0,0
薛奇童,楚宮詞二首,男,80,五言,1,1,0,0,0,0
薛逢,宮詞,男,56,七言,1,1,0,0,0,0
虞世南,怨歌行,男,70,五言,1,1,0,0,0,0
虞世南,怨歌行,男,70,五言,1,1,0,0,0,0
袁暉,銅雀妓,男,40,五言,1,1,0,0,0,0
袁暉,銅雀妓,男,40,五言,1,1,0,0,0,0
袁暉,長門怨,男,40,五言,1,1,0,0,0,0
袁暉,長門怨,男,40,五言,1,1,0,0,0,0
裴交泰,長門怨,男,28,七言,1,1,0,0,0,0
裴交泰,長門怨,男,28,七言,1,1,0,0,0,0
許渾,經古行宮,男,56,七言,1,1,0,0,0,0
賈至,銅雀台,男,34,五言,1,1,0,0,0,0
賈至,銅雀台,男,40,五言,1,1,0,0,0,0
賈至,長門怨,男,40,五言,1,1,0,0,0,0
趙嘏,宮烏棲,男,28,七言,1,1,0,0,0,0
邵謁,漢宮井,男,28,七言,1,1,0,0,0,0
鄭愔,銅雀妓,男,40,五言,1,1,0,0,0,0
鄭錫,玉階怨,男,40,五言,1,1,0,0,0,0
鄭鏦,婕妤怨,男,40,五言,1,1,0,0,0,0
鄭鏦,玉階怨,男,40,五言,1,1,0,0,0,0
錢珝,春恨三首,男,84,七言,1,1,0,0,0,0
錢起,長信怨,男,56,七言,1,1,0,0,0,0
長孫佐輔,古宮怨,男,196,七言,1,1,0,0,0,0
開元宮人,袍中詩,,40,五言,1,0,1,0,0,0
陳子昂,感遇詩三十八首,男,1988,五言,1,1,0,0,0,0
陳標,婕妤怨,男,56,七言,1,1,0,0,0,0
陳陶,續古二十九首,男,580,五言,1,1,0,0,0,0
陸龜蒙,婕妤怨,男,40,五言,1,1,0,0,0,0
陸龜蒙,婕妤怨,男,40,五言,1,1,0,0,0,0
陸龜蒙,宮人斜,男,28,七言,1,1,0,0,0,0
雍裕之,宮人斜,男,28,七言,1,1,0,0,0,0
韋應物,送宮人入道,,56,七言,1,0,0,0,0,0
韋莊,宮怨,男,56,七言,1,1,0,0,0,0
韋莊,撫盈歌,男,92,五言,1,1,0,0,0,0
韓偓,宮詞,男,28,七言,1,1,0,0,0,0
韓偓,長信宮二首,男,56,七言,1,1,0,0,0,0
韓翃,漢宮曲二首,男,40,五言,1,1,0,0,0,0
韓翃,漢宮曲二首,男,56,七言,1,1,0,0,0,0
項斯,舊宮人,,56,七言,1,0,0,0,0,0
項斯,送宮人入道,男,56,七言,1,1,0,0,0,0
顧況,宮詞,男,28,七言,1,1,0,0,0,0
顧況,宮詞五首,男,140,七言,1,1,0,0,0,0
顧況,葉上題詩從苑中流出,,28,七言,1,0,0,0,0,0
顧非熊,銅雀妓,男,40,五言,1,1,0,0,0,0
馬逢,宮詞二首,男,56,七言,1,1,0,0,0,0
高蟾,華清宮,,28,七言,1,0,0,0,0,0
高蟾,長信宮二首,男,56,七言,1,1,0,0,0,0
高蟾,長門怨,男,56,七言,1,1,0,0,0,0
高蟾,長門怨二首,男,42,七言,1,1,0,0,0,0
鮑溶,上陽宮月,男,56,七言,1,1,0,0,0,0
鮑溶,章華宮行,男,70,七言,1,1,0,0,0,0
鮑溶,行路難,,84,七言,1,0,0,0,0,0
劉媛,句,,24,五言,0,0,1,0,0,0
劉媛,送遠,,28,七言,0,0,1,0,0,0
劉采春,囉嗊曲六首,,120,五言,0,0,1,0,0,0
天寶宮人,又題,,28,七言,0,0,1,0,0,0
姚月華,制履贈楊達,,20,五言,0,0,1,0,0,0
姚月華,怨詩寄楊達,,56,七言,0,0,1,0,0,0
姚月華,怨詩效徐淑體,,180,五言,0,0,1,0,0,0
姚月華,有期不至,,28,七言,0,0,1,0,0,0
姚月華,楚妃怨,,28,七言,0,0,1,0,0,0
崔仲容,句,,44,五言,0,0,1,0,0,0
崔仲容,戲贈,,28,七言,0,0,1,0,0,0
崔仲容,贈所思,,40,五言,0,0,1,0,0,0
崔仲容,贈歌姬,,56,七言,0,0,1,0,0,0
常浩,寄遠,,76,七言,0,0,1,0,0,0
常浩,贈盧夫人,,40,五言,0,0,1,0,0,0
廉氏,寄征人,,28,七言,0,0,1,0,0,0
廉氏,峽中即事,,42,七言,0,0,1,0,0,0
廉氏,懷遠,,40,五言,0,0,1,0,0,0
張窈窕,上成都在事,,40,五言,0,0,1,0,0,0
張窈窕,句,,21,七言,0,0,1,0,0,0
張窈窕,寄故人,,28,七言,0,0,1,0,0,0
張窈窕,春思二首,,56,七言,0,0,1,0,0,0
張窈窕,西江行,,20,五言,0,0,1,0,0,0
張窈窕,贈所思,,28,七言,0,0,1,0,0,0
徐賢妃,擬小山篇,,24,雜言,0,0,1,0,0,0
徐賢妃,秋風函谷應詔,,40,五言,0,0,1,0,0,0
徐賢妃,賦得北方有佳人,,50,五言,0,0,1,0,0,0
徐賢妃,進太宗,,20,五言,0,0,1,0,0,0
晁采,子夜歌十八首,,360,五言,0,0,1,0,0,0
晁采,寄文茂,,28,七言,0,0,1,0,0,0
晁采,春日送夫之長安,,28,七言,0,0,1,0,0,0
晁采,秋日再寄,,56,七言,0,0,1,0,0,0
晁采,雨中憶夫,,56,七言,0,0,1,0,0,0
李冶,偶居,,28,七言,0,0,1,0,0,0
李冶,八至,,24,雜言,0,0,1,0,0,0
李冶,句,,56,五言,0,0,1,0,0,0
李冶,寄朱放,,40,五言,0,0,1,0,0,0
李冶,寄校書七兄,,40,五言,0,0,1,0,0,0
李冶,得閻伯鈞書,,28,七言,0,0,1,0,0,0
李冶,從蕭叔子聽彈琴，賦得三峽流泉歌,,112,七言,0,0,1,0,0,0
李冶,恩命追入，留別廣陵故人,,56,七言,0,0,1,0,0,0
李冶,感興,,56,七言,0,0,1,0,0,0
李冶,明月夜留別,,28,七言,0,0,1,0,0,0
李冶,春閨怨,,20,五言,0,0,1,1,0,1
李冶,柳,,56,七言,0,0,1,0,0,0
李冶,湖上臥病喜陸鴻漸至,,40,五言,0,0,1,0,0,0
李冶,相思怨,,40,五言,0,0,1,1,0,1
李冶,結素魚貽友人,,20,五言,0,0,1,0,0,0
李冶,薔薇花,,56,七言,0,0,1,0,0,0
李冶,送閻二十六赴剡縣,,40,五言,0,0,1,0,0,0
李冶,送韓揆之江西,,40,五言,0,0,1,0,0,0
李冶,道意寄崔侍郎,,40,五言,0,0,1,0,0,0
梁瓊,句,,14,七言,0,0,1,0,0,0
梁瓊,宿巫山寄遠人,,97,七言,0,0,1,0,0,0
梁瓊,昭君怨,,40,五言,0,0,1,0,0,0
梁瓊,遠意,,20,五言,0,0,1,0,0,0
步非煙,又答趙象獨坐,,28,七言,0,0,1,0,0,0
步非煙,寄懷,,28,七言,0,0,1,0,0,0
步非煙,答趙子,,28,七言,0,0,1,0,0,0
步非煙,答趙象,,28,七言,0,0,1,0,0,0
程長文,春閨怨,,28,七言,0,0,1,1,0,1
程長文,獄中書情上使君,,210,七言,0,0,1,0,0,0
程長文,銅雀台怨,,56,七言,0,0,1,0,0,0
花蕊夫人,述國亡詩,,28,七言,0,0,1,0,0,0
葛鴉兒,懷良人,,28,七言,0,0,1,0,0,0
葛鴉兒,會仙詩,,56,七言,0,0,1,0,0,0
薛媛,寫真寄夫,,40,五言,0,0,1,0,0,0
薛濤,上川主武元衡相國二首,,56,七言,0,0,1,0,0,0
薛濤,上王尚書,,28,七言,0,0,1,0,0,0
薛濤,九日遇雨二首,,56,七言,0,0,1,0,0,0
薛濤,別李郎中,,28,七言,0,0,1,0,0,0
薛濤,句,,58,五言,0,0,1,0,0,0
薛濤,和劉賓客玉蕣,,28,七言,0,0,1,0,0,0
薛濤,和李書記席上見贈,,28,七言,0,0,1,0,0,0
薛濤,和郭員外題萬里橋,,28,七言,0,0,1,0,0,0
薛濤,宣上人見示與諸公唱和,,20,五言,0,0,1,0,0,0
薛濤,寄張元夫,,28,七言,0,0,1,0,0,0
薛濤,寄舊詩與元微之,,56,七言,0,0,1,0,0,0
薛濤,寄詞,,28,七言,0,0,1,0,0,0
薛濤,憶荔枝,,28,七言,0,0,1,0,0,0
薛濤,採蓮舟,,28,七言,0,0,1,0,0,0
薛濤,摩訶池贈蕭中丞,,28,七言,0,0,1,0,0,0
薛濤,斛石山曉望寄呂侍禦,,28,七言,0,0,1,0,0,0
薛濤,斛石山書事,,28,七言,0,0,1,0,0,0
薛濤,春望詞四首,,80,五言,0,0,1,0,0,0
薛濤,春郊遊眺寄孫處士二首,,56,七言,0,0,1,0,0,0
薛濤,月,,20,五言,0,0,1,0,0,0
薛濤,柳絮,,28,七言,0,0,1,0,0,0
薛濤,棠梨花和李太尉,,28,七言,0,0,1,0,0,0
薛濤,段相國游武擔寺，病不能從題寄,,28,七言,0,0,1,0,0,0
薛濤,江亭餞別,,28,七言,0,0,1,0,0,0
薛濤,江月樓,,42,七言,0,0,1,0,0,0
薛濤,江邊,,28,七言,0,0,1,0,0,0
薛濤,池上雙鳥,,20,五言,0,0,1,0,0,0
薛濤,海棠溪,,28,七言,0,0,1,0,0,0
薛濤,燕離巢,,28,七言,0,0,1,0,0,0
薛濤,牡丹,,56,七言,0,0,1,0,0,0
薛濤,犬離主,,28,七言,0,0,1,0,0,0
薛濤,珠離掌,,28,七言,0,0,1,0,0,0
薛濤,秋泉,,28,七言,0,0,1,0,0,0
薛濤,竹離亭,,28,七言,0,0,1,0,0,0
薛濤,筆離手,,28,七言,0,0,1,0,0,0
薛濤,籌邊樓,,28,七言,0,0,1,0,0,0
薛濤,續嘉陵驛詩獻武相國,,28,七言,0,0,1,0,0,0
薛濤,罰赴邊上武相公二首,,56,七言,0,0,1,0,0,0
薛濤,罰赴邊有懷上韋令公二首,,40,五言,0,0,1,0,0,0
薛濤,聽僧吹蘆管,,28,七言,0,0,1,0,0,0
薛濤,菱荇沼,,28,七言,0,0,1,0,0,0
薛濤,蟬,,20,五言,0,0,1,0,0,0
薛濤,西岩,,28,七言,0,0,1,0,0,0
薛濤,詠八十一顆,,24,雜言,0,0,1,0,0,0
薛濤,試新服裁制初成三首,,84,七言,0,0,1,0,0,0
薛濤,謁巫山廟,,56,七言,0,0,1,0,0,0
薛濤,賊平後上高相公,,28,七言,0,0,1,0,0,0
薛濤,賦淩雲寺二首,,56,七言,0,0,1,0,0,0
薛濤,贈楊蘊中,,28,七言,0,0,1,0,0,0
薛濤,贈段校書,,28,七言,0,0,1,0,0,0
薛濤,贈蘇十三中丞,,28,七言,0,0,1,0,0,0
薛濤,贈遠二首,,56,七言,0,0,1,0,0,0
薛濤,贈韋校書,,28,七言,0,0,1,0,0,0
薛濤,送友人,,28,七言,0,0,1,0,0,0
薛濤,送姚員外,,28,七言,0,0,1,0,0,0
薛濤,送扶煉師,,28,七言,0,0,1,0,0,0
薛濤,送盧員外,,28,七言,0,0,1,0,0,0
薛濤,送鄭眉州,,28,七言,0,0,1,0,0,0
薛濤,鄉思,,28,七言,0,0,1,0,0,0
薛濤,酬人雨後玩竹,,40,五言,0,0,1,0,0,0
薛濤,酬吳隨君,,28,七言,0,0,1,0,0,0
薛濤,酬文使君,,28,七言,0,0,1,0,0,0
薛濤,酬李校書,,28,七言,0,0,1,0,0,0
薛濤,酬杜舍人,,28,七言,0,0,1,0,0,0
薛濤,酬楊供奉法師見招,,28,七言,0,0,1,0,0,0
薛濤,酬祝十三秀才,,28,七言,0,0,1,0,0,0
薛濤,酬辛員外折花見遺,,28,七言,0,0,1,0,0,0
