字詞,詩人,詞頻
西,白居易,441
明,白居易,440
十,杜甫,440
人,元稹,438
十,元稹,437
何,李白,427
子,杜甫,424
送,杜甫,424
吟,白居易,423
開,白居易,423
青,白居易,421
金,李白,419
深,白居易,419
相,李白,418
上,李白,417
天,劉禹錫,416
為,杜甫,415
長,李白,415
首,白居易,414
獨,白居易,412
首,杜甫,411
似,白居易,410
題,白居易,409
高,杜甫,408
春,杜甫,408
少,白居易,406
重,白居易,406
寄,白居易,404
自,杜甫,404
生,杜甫,402
州,杜甫,402
來,杜甫,402
人,貫休,401
馬,白居易,401
可,白居易,399
晚,白居易,398
歌,白居易,398
長,杜甫,395
居,白居易,393
欲,白居易,393
山,皎然,391
雪,白居易,389
來,李白,388
上,杜甫,386
早,白居易,385
盡,白居易,383
聞,白居易,383
老,杜甫,382
小,白居易,382
三,杜甫,381
相,劉禹錫,381
紅,白居易,380
馬,杜甫,380
書,白居易,380
春,元稹,379
高,白居易,378
出,白居易,377
間,白居易,376
和,劉禹錫,376
二,杜甫,374
有,元稹,374
無,元稹,373
子,白居易,371
中,李白,370
回,白居易,369
寒,白居易,369
清,白居易,367
陽,白居易,367
樂,元稹,365
初,白居易,365
不,李商隱,363
送,劉長卿,363
地,白居易,362
情,白居易,360
坐,白居易,357
君,元稹,357
秋,李白,355
相,杜甫,355
落,白居易,355
雨,杜甫,353
人,劉長卿,353
能,白居易,353
歲,白居易,353
一,劉禹錫,353
見,杜甫,351
無,李白,351
不,劉禹錫,349
城,白居易,349
雨,白居易,349
酬,元稹,348
清,李白,348
竹,白居易,348
入,白居易,348
夢,白居易,347
四,白居易,345
客,杜甫,345
去,李白,345
兩,白居易,344
已,白居易,344
送,李白,343
山,貫休,342
誰,白居易,341
無,韓愈,341
贈,白居易,341
所,白居易,340
寄,齊己,339
送,白居易,339
者,白居易,339
到,白居易,339
不,皎然,337
送,岑參,336
我,李白,336
東,李白,336
詩,皮日休,335
南,杜甫,334
人,王建,333
山,許渾,333
一,元稹,333
歸,杜甫,332
人,皎然,332
看,白居易,331
非,白居易,331
青,杜甫,331
江,李白,329
有,李白,328
應,白居易,327
人,張籍,326
年,杜甫,326
人,齊己,325
有,韓愈,324
成,白居易,324
樹,白居易,324
從,白居易,323
苦,白居易,322
言,白居易,322
王,杜甫,322
不,皮日休,321
未,杜甫,320
為,李白,320
猶,白居易,319
山,齊己,317
將,白居易,316
金,白居易,313
好,白居易,312
不,王建,312
千,白居易,311
石,白居易,310
不,陸龜蒙,310
花,杜甫,309
中,劉禹錫,309
過,白居易,309
官,白居易,308
如,李白,308
子,李白,308
山,劉禹錫,308
此,李白,307
一,貫休,307
詩,杜甫,306
起,白居易,306
答,白居易,305
安,白居易,305
詩,胡曾,305
史,胡曾,304
詠,胡曾,304
何,元稹,304
日,劉禹錫,304
樂,白居易,304
得,杜甫,303
西,杜甫,302
衣,白居易,301
時,李白,301
山,劉長卿,301
風,元稹,300
我,元稹,300
清,杜甫,300
問,白居易,300
日,元稹,298
無,貫休,298
風,劉禹錫,297
莫,白居易,297
為,元稹,297
色,白居易,295
年,元稹,295
十,韓愈,295
月,杜甫,295
樓,白居易,294
門,杜甫,292
別,李白,292
草,白居易,291
意,白居易,291
分,白居易,291
出,杜甫,291
山,錢起,290
明,李白,290
舊,白居易,290
塵,白居易,290
來,劉禹錫,288
奉,杜甫,288
花,李白,288
上,貫休,288
海,李白,288
歌,李白,287
山,岑參,287
唯,白居易,286
生,元稹,285
青,李白,285
如,杜甫,284
送,錢起,284
在,杜甫,283
王,李白,282
愁,白居易,282
城,杜甫,282
下,李白,282
玉,李白,281
隨,白居易,280
無,孟郊,280
日,皎然,280
如,貫休,280
陽,李白,279
今,杜甫,279
春,李白,278
公,杜甫,278
宿,白居易,278
見,李白,277
曲,白居易,277
元,白居易,277
人,孟郊,277
君,杜甫,276
多,杜甫,276
枝,白居易,275
流,李白,275
心,李白,275
知,杜甫,274
望,皮日休,274
八,白居易,274
香,白居易,274
山,韋應物,274
寄,杜甫,274
我,韓愈,274
南,李白,274
萬,杜甫,274
相,元稹,273
落,李白,273
北,杜甫,273
須,白居易,272
我,杜甫,272
無,劉禹錫,271
對,白居易,271
已,杜甫,271
愛,白居易,271
三,李白,271
以,白居易,271
寒,杜甫,270
望,白居易,270
光,白居易,270
行,元稹,270
不,韋應物,270
歸,李白,270
人,姚合,270
日,韓愈,269
送,皎然,269
聞,杜甫,269
喜,白居易,268
不,齊己,268
北,白居易,268
然,白居易,267
複,白居易,267
空,白居易,267
花,元稹,266
此,杜甫,266
寺,白居易,265
魯,皮日休,264
何,齊己,264
路,白居易,263
風,齊己,263
其,白居易,263
玉,白居易,262
山,姚合,262
中,皮日休,262
上,劉禹錫,262
大,杜甫,261
書,杜甫,261
有,劉禹錫,261
夜,杜甫,260
不,岑參,260
贈,杜甫,259
九,白居易,259
空,李白,259
和,元稹,258
萬,白居易,258
大,白居易,258
人,陸龜蒙,258
樂,劉禹錫,258
古,李白,258
生,李白,257
向,白居易,257
人,杜牧,257
陵,李白,257
有,貫休,256
春,劉禹錫,256
詠,白居易,256
暮,白居易,256
杯,白居易,256
三,元稹,255
八,杜甫,255
足,白居易,254
五,杜甫,254
留,白居易,254
人,王維,254
中,齊己,253
李,白居易,253
與,李白,253
落,杜甫,252
酬,白居易,252
不,張籍,252
平,白居易,251
憶,白居易,250
聽,白居易,250
裏,白居易,249
將,杜甫,249
秋,齊己,249
無,齊己,249
雲,錢起,249
葉,白居易,248
來,齊己,248
地,杜甫,248
東,杜甫,247
故,白居易,247
來,元稹,247
王,白居易,247
半,白居易,246
不,錢起,246
中,姚合,245
百,白居易,245
食,白居易,245
飛,李白,245
行,張籍,245
別,杜甫,245
入,杜甫,245
道,李白,244
外,白居易,243
林,白居易,243
君,貫休,243
黃,白居易,242
不,羅隱,242
興,白居易,242
雲,皎然,241
酒,李白,241
西,李白,241
名,白居易,241
感,白居易,241
不,姚合,241
送,劉禹錫,241
相,韓愈,240
得,元稹,240
園,白居易,240
無,李商隱,240
上,齊己,239
首,元稹,239
送,姚合,239
心,元稹,239
閒,白居易,239
雲,元稹,239
涼,白居易,238
南,韓愈,238
月,元稹,238
氣,白居易,238
有,齊己,238
有,李商隱,237
春,溫庭筠,237
李,杜甫,237
下,杜甫,237
物,白居易,236
一,孟郊,236
且,白居易,236
洛,白居易,236
之,李白,236
自,元稹,236
夜,李白,235
山,王建,235
日,劉長卿,235
日,韋應物,234
人,岑參,234
餘,白居易,234
松,白居易,234
時,劉禹錫,234
柳,白居易,233
時,元稹,233
一,杜牧,233
中,韋應物,232
江,劉長卿,232
詩,韓愈,232
山,王維,231
不,杜牧,231
自,李白,231
送,貫休,231
春,皎然,231
山,韓愈,230
亭,白居易,230
十,李白,230
送,賈島,230
人,韓愈,229
不,杜荀鶴,229
國,周曇,229
風,許渾,229
人,韋應物,229
公,白居易,228
不,王維,228
先,白居易,228
臥,白居易,228
萬,李白,228
遠,杜甫,227
心,皎然,227
七,白居易,227
中,元稹,227
何,貫休,227
雲,劉長卿,227
日,齊己,226
可,李白,225
一,韋應物,225
為,孟郊,225
夜,元稹,225
回,杜甫,224
有,孟郊,224
黃,李白,224
中,王建,224
見,劉禹錫,224
六,白居易,224
水,劉禹錫,224
山,孟郊,223
還,白居易,223
更,白居易,223
君,岑參,223
事,杜甫,222
哀,杜甫,222
上,皎然,222
秋,杜牧,222
雖,白居易,222
五,李白,222
可,韓愈,221
門,李白,220
天,貫休,220
中,皎然,220
自,韓愈,220
衰,白居易,220
因,白居易,220
太,皮日休,220
眼,白居易,219
花,劉禹錫,219
歸,許渾,218
人,錢起,218
郡,白居易,218
無,姚合,218
道,杜甫,218
人,杜荀鶴,217
難,白居易,217
人,羅隱,217
中,劉長卿,217
舟,杜甫,217
何,韓愈,217
日,孟郊,217
高,李白,216
石,杜甫,216
泉,白居易,216
水,劉長卿,216
吾,白居易,216
楊,白居易,216
朝,杜甫,215
常,白居易,215
滿,白居易,215
送,韓愈,215
草,杜甫,215
湖,皮日休,215
送,韓翃,214
日,姚合,214
方,白居易,214
何,劉長卿,214
馬,李白,213
家,杜甫,213
古,貫休,213
陰,白居易,213
秋,許渾,213
過,杜甫,212
春,劉長卿,212
中,孟郊,212
歸,劉長卿,211
風,陸龜蒙,211
煙,白居易,211
人,李商隱,211
遠,白居易,211
山,張籍,211
自,陸龜蒙,210
一,陸龜蒙,210
行,劉禹錫,210
何,皎然,209
江,陸龜蒙,209
故,杜甫,209
日,李商隱,209
又,白居易,209
日,杜牧,208
當,白居易,207
書,元稹,207
心,杜甫,207
同,杜甫,207
興,杜甫,207
江,元稹,207
城,李白,206
空,杜甫,206
門,周曇,206
一,皮日休,206
寄,貫休,206
白,元稹,206
若,白居易,205
逢,白居易,205
江,齊己,205
遠,李白,205
奉,皮日休,205
龍,李白,204
無,錢起,204
不,劉長卿,204
句,韓愈,204
從,李白,203
去,齊己,203
雲,劉禹錫,203
雲,齊己,203
草,李白,203
獨,杜甫,203
氣,杜甫,203
如,劉禹錫,202
相,貫休,202
雲,許渾,202
道,貫休,201
山,賈島,201
子,韓愈,201
豈,白居易,201
憂,白居易,201
山,元稹,201
秋,陸龜蒙,201
山,孟浩然,201
送,王維,200
寄,姚合,200
世,白居易,200
聯,韓愈,200
山,杜牧,199
上,王建,199
上,劉長卿,199
鶴,白居易,199
語,白居易,199
客,李白,199
火,白居易,199
天,韓愈,199
一,韓愈,199
和,皮日休,199
送,盧綸,198
人,許渾,198
暮,杜甫,198
懷,杜甫,197
懷,白居易,197
人,顧況,197
水,許渾,197
歌,杜甫,197
綠,白居易,197
使,白居易,197
秋,劉禹錫,197
日,貫休,196
風,皎然,196
殘,白居易,196
飲,白居易,196
送,齊己,196
愁,杜甫,196
山,陸龜蒙,196
飛,杜甫,196
身,杜甫,195
山,杜荀鶴,195
歡,白居易,195
千,李白,195
絕,杜甫,195
相,齊己,195
君,皎然,195
人,賈島,195
合,白居易,194
有,陸龜蒙,194
書,劉禹錫,194
前,杜甫,194
此,元稹,194
在,李白,194
出,李白,194
無,皎然,193
與,杜甫,193
開,杜甫,193
意,杜甫,193
風,孟郊,193
月,許渾,193
送,李端,193
入,李白,192
頭,杜甫,192
終,白居易,192
白,貫休,192
秋,韓愈,192
花,溫庭筠,192
生,韓愈,192
風,貫休,192
流,杜甫,191
去,杜甫,191
二,元稹,191
春,周曇,191
新,杜甫,191
中,陸龜蒙,190
石,李白,190
中,盧綸,190
山,盧綸,190
侍,白居易,190
為,皮日休,190
空,劉長卿,190
野,杜甫,190
黃,杜甫,190
白,齊己,190
上,元稹,190
三,劉禹錫,189
一,許渾,189
不,韋莊,189
為,貫休,189
中,貫休,189
紫,白居易,189
來,韓愈,188
亦,杜甫,188
複,杜甫,188
行,錢起,188
江,錢起,188
戰,周曇,188
不,呂岩,188
雲,貫休,188
明,杜甫,187
如,皮日休,187
日,許渾,187
深,杜甫,187
古,杜甫,187
中,杜牧,187
時,齊己,187
秋,周曇,187
中,張籍,187
東,元稹,187
酒,杜甫,186
不,吳融,186
登,李白,186
無,張籍,186
色,杜甫,185
安,杜甫,185
安,李白,185
還,李白,185
何,劉禹錫,185
見,元稹,185
暖,白居易,185
行,韓愈,185
和,權德輿,184
令,劉禹錫,184
山,李端,184
無,陸龜蒙,184
可,杜甫,184
手,白居易,183
州,劉禹錫,183
時,韋應物,183
客,劉長卿,182
酬,劉禹錫,182
城,劉禹錫,182
病,杜甫,182
盡,杜甫,182
心,齊己,182
笑,白居易,182
死,白居易,182
至,白居易,182
時,韓愈,181
百,杜甫,181
望,杜甫,181
張,韓愈,181
中,方幹,181
親,白居易,181
即,白居易,180
日,張籍,180
公,李白,180
在,元稹,180
西,岑參,180
雲,韋應物,180
湖,白居易,179
送,韋應物,179
忽,白居易,179
一,齊己,179
與,元稹,179
金,杜甫,179
為,韓愈,179
不,顧況,179
一,李商隱,179
小,杜甫,179
二,李白,178
望,李白,178
思,李白,178
春,杜牧,178
送,許渾,178
久,白居易,178
一,呂岩,178
陽,劉禹錫,178
不,盧仝,178
去,劉長卿,178
送,皇甫冉,177
山,方幹,177
鄉,白居易,177
南,劉禹錫,177
流,白居易,176
不,方幹,176
日,王維,176
得,貫休,176
事,元稹,176
白,劉長卿,176
幾,白居易,176
長,元稹,176
何,韋應物,176
覺,白居易,176
四,杜甫,176
別,元稹,175
行,齊己,175
白,劉禹錫,175
飛,白居易,175
散,白居易,175
西,李商隱,175
重,杜甫,175
尚,白居易,175
人,張祜,175
北,李白,175
中,韓愈,174
遲,白居易,174
人,韋莊,174
書,李白,174
已,韋應物,174
無,皮日休,174
後,杜甫,174
不,高適,173
高,韋應物,173
成,杜甫,173
風,杜牧,173
南,陸龜蒙,173
雲,陸龜蒙,173
風,李商隱,173
日,陸龜蒙,172
中,李商隱,172
上,顧況,172
月,皎然,172
清,劉禹錫,172
共,白居易,172
自,劉禹錫,171
日,羅隱,171
笑,李白,171
欲,杜甫,171
何,孟郊,171
詩,元稹,171
前,元稹,171
送,孟郊,170
上,陸龜蒙,170
來,陸龜蒙,170
若,李白,170
夏,白居易,170
古,白居易,170
之,韓愈,170
水,元稹,170
門,齊己,170
魚,白居易,169
從,杜甫,169
同,劉禹錫,169
此,齊己,169
更,杜甫,169
難,杜甫,169
二,司空圖,169
始,白居易,169
雙,白居易,169
情,李白,169
不,賈島,169
人,戴叔倫,169
別,高適,169
所,杜甫,168
山,皇甫冉,168
事,劉禹錫,168
送,張籍,168
處,齊己,168
月,李商隱,168
漢,杜甫,168
夜,許渾,168
日,錢起,168
發,白居易,168
人,李端,167
上,賈島,167
陶,白居易,167
知,貫休,167
偶,白居易,167
春,姚合,167
春,齊己,167
為,陸龜蒙,166
中,羅隱,166
其,韓愈,166
鳥,白居易,166
憐,白居易,166
夫,白居易,166
送,權德輿,166
月,劉禹錫,166
生,孟郊,166
張,白居易,165
花,許渾,165
江,劉禹錫,165
峽,杜甫,165
首,司空圖,165
得,李白,165
行,王建,165
琴,白居易,165
林,杜甫,165
吾,杜甫,164
窗,白居易,164
人,高適,164
不,鮑溶,164
花,李商隱,164
夢,元稹,164
心,孟郊,164
和,張說,164
龍,白居易,164
霜,白居易,164
弦,白居易,164
人,鮑溶,163
春,孟郊,163
晚,杜甫,163
雲,岑參,163
風,溫庭筠,163
生,劉禹錫,163
上,韋應物,163
有,羅隱,163
知,李白,163
雲,杜牧,163
來,貫休,163
成,李白,163
人,司空圖,163
風,韋應物,162
玉,杜甫,162
來,王建,162
客,許渾,162
雪,李白,162
木,白居易,162
主,白居易,162
歸,錢起,162
無,韋應物,162
蕭,白居易,162
西,齊己,162
華,白居易,161
真,白居易,161
光,李白,161
使,杜甫,161
相,劉長卿,161
下,劉禹錫,161
經,白居易,161
未,李白,161
山,戴叔倫,161
花,貫休,161
辭,白居易,161
子,元稹,160
人,權德輿,160
如,韓愈,160
還,杜甫,160
忘,白居易,160
林,韋應物,160
南,劉長卿,160
風,劉長卿,160
歸,齊己,160
來,韋應物,160
子,皎然,160
仙,白居易,160
貧,白居易,160
人,方幹,160
齋,白居易,159
詩,陸龜蒙,159
動,白居易,159
陽,劉長卿,159
一,羅隱,159
開,李白,159
獨,李白,159
春,錢起,159
水,孟郊,159
相,孟郊,159
數,白居易,159
劉,白居易,159
苦,杜甫,159
龍,杜甫,159
是,貫休,159
送,杜牧,159
上,王維,159
景,白居易,159
山,張說,158
色,李白,158
春,韓愈,158
歸,韓愈,158
獨,劉長卿,158
高,劉禹錫,158
山,顧況,158
此,韓愈,158
西,劉禹錫,158
月,岑參,158
不,司空圖,158
寄,李白,158
尋,白居易,158
無,杜荀鶴,158
雪,杜甫,158
日,王建,158
文,白居易,158
樹,杜甫,158
南,許渾,157
上,岑參,157
眠,白居易,157
日,薛能,157
日,張說,157
誰,杜甫,157
終,杜甫,157
自,李商隱,157
勝,白居易,157
今,元稹,157
閑,齊己,157
大,貫休,157
中,岑參,157
題,錢起,157
山,儲光羲,157
無,劉長卿,157
人,皮日休,157
欲,李白,157
將,李白,157
年,劉禹錫,157
秋,錢起,157
漢,李白,156
太,白居易,156
清,貫休,156
風,權德輿,156
來,李商隱,156
水,韓愈,156
長,劉禹錫,156
聲,元稹,156
天,齊己,156
舊,杜甫,156
衣,杜甫,156
家,王建,156
一,劉長卿,156
送,李頎,156
天,皎然,155
遣,元稹,155
之,元稹,155
不,權德輿,155
立,白居易,155
體,白居易,155
煙,陸龜蒙,155
自,韋應物,155
酒,元稹,154
相,岑參,154
上,李商隱,154
鳥,杜甫,154
看,杜甫,154
方,韋應物,154
酬,高適,154
清,韋應物,154
朱,白居易,154
人,吳融,154
郎,白居易,154
庭,白居易,154
回,李白,154
都,白居易,154
知,元稹,153
公,劉禹錫,153
聖,張說,153
春,許渾,153
神,元稹,153
君,孟郊,153
夜,韋應物,153
城,元稹,153
高,皎然,153
自,孟郊,153
路,杜甫,153
相,姚合,153
雪,貫休,153
文,杜甫,153
但,白居易,153
不,溫庭筠,153
宮,白居易,153
兮,元結,152
寺,齊己,152
樂,李白,152
府,杜甫,152
生,皎然,152
隨,杜甫,152
猶,杜甫,152
孟,韓愈,152
言,元稹,152
遣,杜甫,152
風,韓愈,152
口,白居易,152
無,杜牧,151
金,貫休,151
月,齊己,151
如,陸龜蒙,151
金,劉禹錫,151
何,李商隱,151
二,李商隱,151
上,姚合,151
得,韓愈,151
不,薛能,151
人,盧綸,151
朝,李白,151
樓,李白,151
在,齊己,150
新,齊己,150
秋,劉長卿,150
清,皎然,150
自,劉長卿,150
連,白居易,150
能,杜甫,150
蕭,杜甫,150
處,杜甫,150
冷,白居易,150
長,劉長卿,150
西,韋應物,150
留,李白,150
月,貫休,150
胡,李白,150
人,徐鉉,150
地,李白,150
明,元稹,150
年,李白,149
處,許渾,149
道,皎然,149
知,韓愈,149
往,白居易,149
處,劉禹錫,149
勸,白居易,149
潛,白居易,149
悲,白居易,149
新,王建,149
無,羅隱,149
門,劉禹錫,149
陽,杜甫,149
久,杜甫,149
春,李商隱,149
何,杜牧,149
邊,杜甫,149
亂,杜甫,149
官,杜甫,148
水,溫庭筠,148
日,岑參,148
秋,元稹,148
上,張籍,148
如,元稹,148
深,元稹,148
無,王建,148
來,姚合,148
年,杜牧,148
玉,李商隱,148
兵,杜甫,148
離,白居易,148
令,白居易,148
城,韓愈,148
自,齊己,148
心,貫休,148
詞,劉禹錫,148
士,白居易,147
謝,齊己,147
山,鮑溶,147
題,杜牧,147
雲,李商隱,147
靜,白居易,147
少,杜甫,147
動,杜甫,147
河,杜甫,147
江,貫休,146
歸,岑參,146
留,杜甫,146
為,劉禹錫,146
今,劉禹錫,146
來,張籍,146
花,韋莊,146
醉,李白,146
才,白居易,146
近,白居易,146
移,白居易,146
使,貫休,146
人,溫庭筠,146
寄,羅隱,146
天,王建,146
行,韋應物,146
來,皮日休,146
山,宋之問,145
贈,韓愈,145
客,劉禹錫,145
與,韓愈,145
上,孟郊,145
子,孟郊,145
人,薛能,145
荊,齊己,145
月,賈島,145
夜,李商隱,145
時,李商隱,145
不,徐鉉,145
處,劉長卿,145
路,劉長卿,145
君,劉長卿,145
山,溫庭筠,145
伴,白居易,145
情,皎然,145
舟,白居易,145
無,吳融,144
草,劉長卿,144
數,杜甫,144
君,劉禹錫,144
一,岑參,144
當,李白,144
無,薛能,144
一,王建,144
上,韋莊,144
然,李白,144
還,韋應物,144
中,許渾,144
花,岑參,144
女,白居易,144
曾,白居易,144
村,白居易,144
歎,白居易,144
顏,白居易,144
見,貫休,143
詩,齊己,143
榮,白居易,143
正,白居易,143
時,張籍,143
夜,陸龜蒙,143
堂,杜甫,143
生,齊己,143
思,杜甫,143
水,齊己,143
不,戴叔倫,143
奉,權德輿,143
高,齊己,143
海,白居易,143
歸,劉禹錫,143
後,李白,143
盡,元稹,142
天,李商隱,142
見,岑參,142
去,貫休,142
馬,岑參,142
時,貫休,142
多,貫休,142
念,白居易,142
一,吳融,142
有,皮日休,142
酒,姚合,142
春,薛能,142
有,韋應物,142
沙,杜甫,142
於,白居易,142
清,陸龜蒙,142
九,杜甫,142
君,張籍,142
家,張籍,142
陽,元稹,142
江,錢珝,141
風,姚合,141
君,王維,141
何,陸龜蒙,141
李,元稹,141
花,李賀,141
豈,杜甫,141
山,李德裕,141
登,白居易,141
州,杜牧,141
天,孟郊,141
清,孟郊,141
邊,白居易,141
空,齊己,141
虛,白居易,141
松,李白,140
國,杜甫,140
時,陸龜蒙,140
題,張祜,140
歌,劉禹錫,140
鬢,白居易,140
前,劉禹錫,140
花,錢起,140
朝,韓愈,140
中,高適,140
風,羅隱,140
春,韋莊,140
應,杜甫,140
上,張祜,140
奉,張說,139
行,劉長卿,139
風,吳融,139
和,張九齡,139
西,元稹,139
中,賈島,139
獨,韋應物,139
心,劉禹錫,139
聞,李白,139
遊,李白,139
生,貫休,139
力,白居易,139
容,白居易,139
水,皎然,139
來,杜牧,139
有,皎然,139
憶,杜甫,139
絕,白居易,139
尚,杜甫,139
不,盧綸,139
及,白居易,139
昔,杜甫,138
問,杜甫,138
一,張祜,138
生,韋應物,138
長,杜牧,138
綠,李白,138
一,溫庭筠,138
聞,貫休,138
望,劉禹錫,138
已,元稹,138
東,劉禹錫,138
應,齊己,138
去,元稹,138
以,皮日休,138
貴,白居易,138
寒,陸龜蒙,138
為,韋應物,137
日,賈島,137
一,皎然,137
天,陸龜蒙,137
所,韓愈,137
平,李白,137
閣,白居易,137
直,白居易,137
鳴,李白,137
漸,白居易,137
和,徐鉉,137
不,許渾,137
萬,元稹,137
日,杜荀鶴,137
青,劉長卿,137
能,韓愈,137
年,王建,137
石,齊己,137
有,溫庭筠,136
秋,皎然,136
時,皎然,136
時,羅隱,136
春,陸龜蒙,136
低,白居易,136
當,杜甫,136
客,張籍,136
落,劉長卿,136
別,劉長卿,136
車,白居易,136
身,元稹,136
愁,李白,136
自,姚合,136
誰,李白,136
貽,儲光羲,136
然,皎然,135
見,皎然,135
行,貫休,135
歸,貫休,135
秋,貫休,135
田,白居易,135
放,白居易,135
馬,元稹,135
水,王建,135
五,元稹,135
首,韓愈,135
相,李商隱,135
得,姚合,135
名,杜甫,135
秋,韋應物,135
頭,王建,135
清,齊己,135
近,杜甫,135
發,杜甫,135
年,齊己,135
分,杜甫,134
多,齊己,134
道,齊己,134
行,姚合,134
軍,杜甫,134
朝,劉禹錫,134
心,錢起,134
去,杜牧,134
日,盧綸,134
別,孟郊,134
面,白居易,134
吟,齊己,134
答,韋應物,134
日,皮日休,134
萬,劉長卿,134
雨,元稹,134
家,李白,134
大,李白,134
頭,元稹,134
年,張籍,133
山,張九齡,133
詩,姚合,133
江,杜牧,133
此,韋應物,133
中,儲光羲,133
里,白居易,133
日,溫庭筠,133
哭,白居易,133
山,張祜,133
期,白居易,133
波,白居易,133
山,李商隱,133
下,陸龜蒙,133
別,皎然,133
海,杜甫,133
同,李白,133
主,杜甫,133
胡,杜甫,133
盡,李白,133
三,皮日休,133
同,儲光羲,133
人,張說,133
雨,韋應物,133
得,齊己,133
悲,杜甫,133
西,許渾,132
家,劉禹錫,132
雲,韓愈,132
一,杜荀鶴,132
和,韓愈,132
絲,白居易,132
江,許渾,132
知,錢起,132
不,元結,132
空,孟郊,132
遠,元稹,132
金,溫庭筠,132
入,貫休,132
滿,元稹,132
山,羅隱,132
竹,杜甫,132
未,元稹,132
寄,韋應物,132
雲,李群玉,132
何,羅隱,131
書,姚合,131
今,李白,131
上,韓愈,131
雲,皮日休,131
年,羅隱,131
雲,王維,131
不,張祜,131
人,儲光羲,131
露,白居易,131
非,杜甫,131
引,白居易,131
江,羅隱,130
不,曹鄴,130
遠,張籍,130
千,杜甫,130
向,杜甫,130
子,韋應物,130
三,陳子昂,130
秦,杜甫,130
作,杜甫,130
常,杜甫,130
高,許渾,130
惜,白居易,130
言,李白,130
吳,李白,130
月,錢起,130
僧,齊己,130
人,李賀,130
多,劉禹錫,130
歌,元稹,130
知,齊己,130
多,元稹,130
以,韓愈,130
門,元稹,130
長,王建,130
花,皎然,130
空,皎然,130
林,齊己,130
兒,杜甫,129
此,孟郊,129
聞,齊己,129
舊,齊己,129
中,錢起,129
東,李商隱,129
此,貫休,129
我,皎然,129
作,貫休,129
城,張籍,129
相,張籍,129
衰,杜甫,129
為,皎然,129
種,白居易,129
樹,元稹,129
入,劉禹錫,129
詩,司空圖,129
中,杜荀鶴,129
遠,劉長卿,129
春,岑參,129
向,李白,129
恩,白居易,129
用,白居易,129
秦,白居易,129
月,韓愈,129
夕,白居易,129
師,韓愈,129
郊,白居易,129
似,貫休,128
同,韋應物,128
地,元稹,128
古,皎然,128
至,杜甫,128
離,李白,128
女,李白,128
作,李白,128
清,權德輿,128
春,韋應物,128
會,白居易,128
夜,王建,128
月,孟郊,128
天,劉長卿,128
山,皮日休,128
晴,白居易,128
碧,白居易,128
宜,白居易,128
中,王維,128
寄,賈島,128
去,劉禹錫,128
十,劉禹錫,128
暮,劉長卿,128
懷,陸龜蒙,128
君,陸龜蒙,128
三,陸龜蒙,128
時,孟郊,127
下,姚合,127
命,白居易,127
誰,韓愈,127
春,李中,127
水,錢起,127
月,陸龜蒙,127
君,韓愈,127
吟,孟郊,127
中,權德輿,127
南,齊己,127
紫,李白,127
春,貫休,127
聲,劉禹錫,127
在,劉禹錫,127
堂,白居易,127
山,高適,127
同,元稹,127
道,元稹,127
神,杜甫,127
送,李嘉佑,127
月,杜牧,126
是,杜甫,126
此,皎然,126
長,皎然,126
在,皎然,126
日,趙嘏,126
間,杜甫,126
東,岑參,126
首,李商隱,126
來,岑參,126
事,姚合,126
