字詞,詩人,詞頻
日遊苑,李顯,1
遊苑迎,李顯,1
苑迎春,李顯,1
迎春十,李顯,1
春十月,李顯,1
十月誕,李顯,1
月誕辰,李顯,1
誕辰內,李顯,1
辰內殿,李顯,1
內殿宴,李顯,1
殿宴群,李顯,1
宴群臣,李顯,1
群臣效,李顯,1
臣效柏,李顯,1
效柏梁,李顯,1
柏梁體,李顯,2
梁體聯,李顯,2
體聯句,李顯,2
聯句景,李顯,1
句景龍,李顯,1
景龍四,李顯,1
龍四年,李顯,1
四年正,李顯,1
年正月,李顯,1
正月五,李顯,1
月五日,李顯,1
五日移,李顯,1
日移仗,李顯,1
移仗蓬,李顯,1
仗蓬萊,李顯,1
蓬萊宮,李顯,1
萊宮御,李顯,1
宮御大,李顯,1
御大明,李顯,1
大明殿,李顯,1
明殿會,李顯,1
殿會吐,李顯,1
會吐蕃,李顯,1
吐蕃騎,李顯,1
蕃騎馬,李顯,1
騎馬之,李顯,1
馬之戲,李顯,1
之戲因,李顯,1
戲因重,李顯,1
因重爲,李顯,1
重爲柏,李顯,1
爲柏梁,李顯,1
聯句石,李顯,1
句石淙,李顯,1
石淙戲,李旦,1
淙戲題,李旦,1
戲題畫,李旦,1
行次成,李隆基,1
次成皋,李隆基,1
成皋途,李隆基,1
皋途經,李隆基,1
途經先,李隆基,1
經先聖,李隆基,1
先聖擒,李隆基,1
聖擒建,李隆基,1
擒建德,李隆基,1
建德之,李隆基,1
德之所,李隆基,1
之所緬,李隆基,1
所緬思,李隆基,1
緬思功,李隆基,1
思功業,李隆基,1
功業感,李隆基,1
業感而,李隆基,1
感而賦,李隆基,1
而賦詩,李隆基,1
賦詩校,李隆基,1
詩校獵,李隆基,1
校獵義,李隆基,1
獵義成,李隆基,1
義成喜,李隆基,1
成喜逢,李隆基,1
喜逢大,李隆基,1
逢大雪,李隆基,1
大雪率,李隆基,1
雪率題,李隆基,1
率題九,李隆基,1
題九韻,李隆基,1
九韻以,李隆基,1
韻以示,李隆基,1
以示群,李隆基,1
示群官,李隆基,1
群官賜,李隆基,1
官賜諸,李隆基,1
賜諸州,李隆基,1
諸州刺,李隆基,1
州刺史,李隆基,1
刺史以,李隆基,1
史以題,李隆基,1
以題座,李隆基,1
題座右,李隆基,1
座右送,李隆基,1
右送忠,李隆基,1
送忠州,李隆基,1
忠州太,李隆基,1
州太守,李隆基,1
太守康,李隆基,1
守康昭,李隆基,1
康昭遠,李隆基,1
昭遠等,李隆基,1
遠等端,李隆基,1
等端午,李隆基,1
端午三,李隆基,1
午三殿,李隆基,1
三殿宴,李隆基,1
殿宴群,李隆基,1
宴群臣,李隆基,1
群臣探,李隆基,1
臣探得,李隆基,1
探得神,李隆基,1
得神字,李隆基,1
神字溫,李隆基,1
字溫湯,李隆基,1
溫湯對,李隆基,1
湯對雪,李隆基,1
對雪登,李隆基,1
雪登蒲,李隆基,1
登蒲州,李隆基,1
蒲州逍,李隆基,1
州逍遙,李隆基,1
逍遙樓,李隆基,1
遙樓經,李隆基,1
樓經河,李隆基,1
經河上,李隆基,1
河上公,李隆基,1
上公廟,李隆基,1
公廟過,李隆基,1
廟過王,李隆基,1
過王濬,李隆基,1
王濬墓,李隆基,1
濬墓初,李隆基,1
墓初入,李隆基,1
初入秦,李隆基,1
入秦川,李隆基,1
秦川路,李隆基,1
川路逢,李隆基,1
路逢寒,李隆基,1
逢寒食,李隆基,1
寒食春,李隆基,1
食春臺,李隆基,1
春臺望,李隆基,1
臺望過,李隆基,1
望過大,李隆基,1
過大哥,李隆基,3
大哥宅,李隆基,1
哥宅探,李隆基,1
宅探得,李隆基,1
探得歌,李隆基,1
得歌字,李隆基,1
歌字韻,李隆基,1
字韻同,李隆基,1
韻同玉,李隆基,1
同玉真,李隆基,1
玉真公,李隆基,1
真公主,李隆基,1
公主過,李隆基,1
主過大,李隆基,1
大哥山,李隆基,2
哥山池,李隆基,2
山池經,李隆基,1
池經鄒,李隆基,1
經鄒魯,李隆基,1
鄒魯祭,李隆基,1
魯祭孔,李隆基,1
祭孔子,李隆基,1
孔子而,李隆基,1
子而歎,李隆基,1
而歎之,李隆基,1
歎之惟,李隆基,1
之惟此,李隆基,1
惟此溫,李隆基,1
此溫泉,李隆基,1
溫泉是,李隆基,1
泉是稱,李隆基,1
是稱愈,李隆基,1
稱愈疾,李隆基,1
愈疾豈,李隆基,1
疾豈予,李隆基,1
豈予獨,李隆基,1
予獨受,李隆基,1
獨受其,李隆基,1
受其福,李隆基,1
其福思,李隆基,1
福思與,李隆基,1
思與兆,李隆基,1
與兆人,李隆基,1
兆人共,李隆基,1
人共之,李隆基,1
共之乗,李隆基,1
之乗暇,李隆基,1
乗暇巡,李隆基,1
暇巡遊,李隆基,1
巡遊乃,李隆基,1
遊乃言,李隆基,1
乃言其,李隆基,1
言其志,李隆基,1
其志旋,李隆基,1
志旋師,李隆基,1
旋師喜,李隆基,1
師喜捷,李隆基,1
喜捷過,李隆基,1
捷過老,李隆基,1
過老子,李隆基,1
老子廟,李隆基,1
子廟途,李隆基,1
廟途次,李隆基,1
途次陝,李隆基,1
次陝州,李隆基,1
陝州野,李隆基,1
州野次,李隆基,1
野次喜,李隆基,1
次喜雪,李隆基,1
喜雪送,李隆基,1
雪送賀,李隆基,1
送賀知,李隆基,1
賀知章,李隆基,1
知章歸,李隆基,1
章歸四,李隆基,1
歸四明,李隆基,1
四明軒,李隆基,1
明軒遊,李隆基,1
軒遊宮,李隆基,1
遊宮十,李隆基,1
宮十五,李隆基,1
十五夜,李隆基,1
五夜觀,李隆基,1
夜觀拔,李隆基,1
觀拔河,李隆基,1
拔河俗,李隆基,1
河俗戲,李隆基,1
俗戲同,李隆基,1
戲同劉,李隆基,1
同劉晃,李隆基,1
劉晃喜,李隆基,1
晃喜雨,李隆基,1
喜雨千,李隆基,1
雨千秋,李隆基,1
千秋節,李隆基,3
秋節賜,李隆基,2
節賜群,李隆基,2
賜群臣,李隆基,2
群臣鏡,李隆基,2
臣鏡賜,李隆基,1
鏡賜道,李隆基,1
賜道士,李隆基,1
道士鄧,李隆基,1
士鄧紫,李隆基,1
鄧紫陽,李隆基,1
紫陽幸,李隆基,1
陽幸蜀,李隆基,1
幸蜀西,李隆基,1
蜀西至,李隆基,1
西至劍,李隆基,1
至劍門,李隆基,1
劍門答,李隆基,1
門答司,李隆基,1
答司馬,李隆基,1
司馬承,李隆基,2
馬承禎,李隆基,2
承禎上,李隆基,1
禎上劍,李隆基,1
上劍鏡,李隆基,1
劍鏡送,李隆基,1
鏡送趙,李隆基,1
送趙法,李隆基,1
趙法師,李隆基,2
法師還,李隆基,1
師還蜀,李隆基,1
還蜀因,李隆基,1
蜀因名,李隆基,1
因名山,李隆基,1
名山奠,李隆基,1
山奠簡,李隆基,1
奠簡送,李隆基,1
簡送道,李隆基,1
送道士,李隆基,2
道士薛,李隆基,1
士薛季,李隆基,1
薛季昌,李隆基,1
季昌還,李隆基,1
昌還山,李隆基,1
還山送,李隆基,1
山送玄,李隆基,1
送玄同,李隆基,1
玄同真,李隆基,1
同真人,李隆基,1
真人李,李隆基,1
人李抱,李隆基,1
李抱朴,李隆基,1
抱朴謁,李隆基,1
朴謁灊,李隆基,1
謁灊山,李隆基,1
灊山仙,李隆基,1
山仙祠,李隆基,1
仙祠春,李隆基,1
祠春日,李隆基,1
春日出,李隆基,1
日出苑,李隆基,1
出苑遊,李隆基,1
苑遊矚,李隆基,1
遊矚春,李隆基,1
矚春晚,李隆基,1
春晚宴,李隆基,1
晚宴兩,李隆基,1
宴兩相,李隆基,1
兩相及,李隆基,1
相及禮,李隆基,1
及禮官,李隆基,1
禮官麗,李隆基,1
官麗正,李隆基,1
麗正殿,李隆基,1
正殿學,李隆基,1
殿學士,李隆基,1
學士探,李隆基,1
士探得,李隆基,1
探得風,李隆基,1
得風字,李隆基,1
風字首,李隆基,1
字首夏,李隆基,1
首夏花,李隆基,1
夏花萼,李隆基,1
花萼樓,李隆基,1
萼樓觀,李隆基,1
樓觀群,李隆基,1
觀群臣,李隆基,1
群臣宴,李隆基,1
臣宴寧,李隆基,1
宴寧王,李隆基,1
寧王山,李隆基,1
王山亭,李隆基,1
山亭回,李隆基,1
亭回樓,李隆基,1
回樓下,李隆基,1
樓下又,李隆基,1
下又申,李隆基,1
又申之,李隆基,1
申之以,李隆基,1
之以賞,李隆基,1
以賞樂,李隆基,1
賞樂賦,李隆基,1
樂賦詩,李隆基,1
賦詩同,李隆基,1
詩同二,李隆基,1
同二相,李隆基,1
二相已,李隆基,1
相已下,李隆基,1
已下群,李隆基,1
下群官,李隆基,1
群官樂,李隆基,1
官樂遊,李隆基,1
樂遊園,李隆基,1
遊園宴,李隆基,1
園宴集,李隆基,1
宴集賢,李隆基,1
集賢書,李隆基,1
賢書院,李隆基,1
書院成,李隆基,1
院成送,李隆基,1
成送張,李隆基,1
送張說,李隆基,2
張說上,李隆基,1
說上集,李隆基,1
上集賢,李隆基,1
集賢學,李隆基,1
賢學士,李隆基,1
學士賜,李隆基,1
士賜宴,李隆基,1
賜宴得,李隆基,1
宴得珍,李隆基,1
得珍字,李隆基,1
珍字王,李隆基,1
字王屋,李隆基,1
王屋山,李隆基,1
屋山送,李隆基,1
山送道,李隆基,1
道士司,李隆基,1
士司馬,李隆基,1
承禎還,李隆基,1
禎還天,李隆基,1
還天台,李隆基,1
天台早,李隆基,1
台早度,李隆基,1
早度蒲,李隆基,1
度蒲津,李隆基,1
蒲津關,李隆基,1
津關途,李隆基,1
關途經,李隆基,1
途經華,李隆基,1
經華嶽,李隆基,1
華嶽喜,李隆基,1
嶽喜雪,李隆基,1
喜雪幸,李隆基,1
雪幸鳳,李隆基,1
幸鳳泉,李隆基,1
鳳泉湯,李隆基,1
泉湯南,李隆基,1
湯南出,李隆基,1
南出雀,李隆基,1
出雀鼠,李隆基,1
雀鼠谷,李隆基,1
鼠谷答,李隆基,1
谷答張,李隆基,1
答張說,李隆基,1
張說賜,李隆基,1
說賜崔,李隆基,1
賜崔日,李隆基,1
崔日知,李隆基,1
日知往,李隆基,1
知往潞,李隆基,1
往潞州,李隆基,1
潞州為,李隆基,1
州為趙,李隆基,1
為趙法,李隆基,1
法師別,李隆基,1
師別造,李隆基,1
別造精,李隆基,1
造精院,李隆基,1
精院過,李隆基,1
院過院,李隆基,1
過院賦,李隆基,1
院賦詩,李隆基,1
賦詩端,李隆基,1
詩端午,李隆基,1
端午春,李隆基,1
午春中,李隆基,1
春中興,李隆基,1
中興慶,李隆基,1
興慶宮,李隆基,2
慶宮酺,李隆基,1
宮酺宴,李隆基,1
酺宴千,李隆基,1
宴千秋,李隆基,1
秋節宴,李隆基,1
節宴左,李隆基,1
宴左丞,李隆基,1
左丞相,李隆基,1
丞相說,李隆基,1
相說右,李隆基,1
說右丞,李隆基,1
右丞相,李隆基,1
丞相璟,李隆基,1
相璟太,李隆基,1
璟太子,李隆基,1
太子少,李隆基,1
子少傅,李隆基,1
少傅乾,李隆基,1
傅乾曜,李隆基,1
乾曜同,李隆基,1
曜同日,李隆基,1
同日上,李隆基,1
日上官,李隆基,1
上官命,李隆基,1
官命宴,李隆基,1
命宴東,李隆基,1
宴東堂,李隆基,1
東堂賜,李隆基,1
堂賜詩,李隆基,1
賜詩早,李隆基,1
詩早登,李隆基,1
早登太,李隆基,1
登太行,李隆基,1
太行山,李隆基,1
行山中,李隆基,1
山中言,李隆基,1
中言志,李隆基,1
言志平,李隆基,1
志平胡,李隆基,1
平胡遊,李隆基,1
胡遊興,李隆基,1
遊興慶,李隆基,1
慶宮作,李隆基,1
宮作送,李隆基,1
作送張,李隆基,1
張說巡,李隆基,1
說巡邊,李隆基,1
巡邊餞,李隆基,1
邊餞王,李隆基,1
餞王晙,李隆基,1
王晙巡,李隆基,1
晙巡邊,李隆基,1
巡邊巡,李隆基,1
邊巡省,李隆基,1
巡省途,李隆基,1
省途次,李隆基,1
途次上,李隆基,1
次上黨,李隆基,1
上黨舊,李隆基,1
黨舊宮,李隆基,1
舊宮賦,李隆基,1
宮賦潼,李隆基,1
賦潼關,李隆基,1
潼關口,李隆基,1
關口號,李隆基,1
口號千,李隆基,1
號千秋,李隆基,1
臣鏡續,李隆基,1
鏡續薛,李隆基,1
續薛令,李隆基,1
薛令之,李隆基,1
令之題,李隆基,1
之題壁,李隆基,1
題壁送,李隆基,1
壁送胡,李隆基,1
送胡真,李隆基,1
胡真師,李隆基,1
真師還,李隆基,1
師還西,李隆基,1
還西山,李隆基,1
西山過,李隆基,1
山過大,李隆基,1
山池題,李隆基,1
池題石,李隆基,1
題石壁,李隆基,1
石壁題,李隆基,1
壁題梅,李隆基,1
題梅妃,李隆基,1
梅妃畫,李隆基,1
妃畫真,李隆基,1
畫真鶺,李隆基,1
真鶺鴒,李隆基,1
鶺鴒頌,李隆基,1
鴒頌傀,李隆基,1
頌傀儡,李隆基,1
傀儡吟,李隆基,1
儡吟句,李隆基,1
賜梨李,李亨,1
梨李泌,李亨,1
李泌與,李亨,1
泌與諸,李亨,1
與諸王,李亨,1
諸王聯,李亨,1
王聯句,李亨,1
中和節,李適,3
和節日,李適,1
節日宴,李適,1
日宴百,李適,1
宴百僚,李適,2
百僚賜,李適,1
僚賜詩,李適,1
賜詩中,李適,1
詩中和,李適,1
和節賜,李適,2
節賜百,李適,1
賜百官,李適,1
百官燕,李適,1
官燕集,李適,1
燕集因,李適,1
集因示,李適,1
因示所,李適,1
示所懷,李適,1
所懷重,李適,1
懷重陽,李適,1
重陽日,李適,3
陽日賜,李適,1
日賜宴,李適,1
賜宴曲,李適,1
宴曲江,李適,1
曲江亭,李適,1
江亭賦,李適,1
亭賦六,李適,1
賦六韻,李適,1
六韻詩,李適,1
韻詩用,李適,1
詩用清,李適,1
用清字,李適,1
清字九,李適,1
字九月,李適,1
九月十,李適,1
月十八,李適,1
十八賜,李適,1
八賜百,李適,1
賜百僚,李適,1
百僚追,李適,1
僚追賞,李適,1
追賞因,李適,1
賞因書,李適,1
因書所,李適,1
書所懷,李適,1
所懷送,李適,1
懷送徐,李適,1
送徐州,李適,1
徐州張,李適,1
州張建,李適,1
張建封,李適,1
建封還,李適,1
封還鎮,李適,1
還鎮麟,李適,1
鎮麟德,李適,1
麟德殿,李適,2
德殿宴,李適,1
殿宴百,李適,1
百僚元,李適,1
僚元日,李適,1
元日退,李適,1
日退朝,李適,1
退朝觀,李適,1
朝觀軍,李適,1
觀軍仗,李適,1
軍仗歸,李適,1
仗歸營,李適,1
歸營中,李適,1
營中和,李適,1
節賜群,李適,1
賜群臣,李適,1
群臣宴,李適,1
臣宴賦,李適,1
宴賦七,李適,1
賦七韻,李適,1
七韻三,李適,1
韻三日,李適,1
三日書,李適,1
日書懷,李適,1
書懷因,李適,1
懷因示,李適,1
因示百,李適,1
示百僚,李適,1
百僚重,李適,1
僚重陽,李適,1
陽日中,李適,1
日中外,李適,1
中外同,李適,1
外同歡,李適,1
同歡以,李適,1
歡以詩,李適,1
以詩言,李適,1
詩言志,李適,1
言志因,李適,1
志因示,李適,1
因示群,李適,1
示群官,李適,1
群官重,李適,1
官重陽,李適,1
陽日即,李適,1
日即事,李適,1
即事豐,李適,1
事豐年,李適,1
豐年多,李適,1
年多慶,李適,1
多慶九,李適,1
慶九日,李適,1
九日示,李適,1
日示懷,李適,1
示懷七,李適,1
懷七月,李適,1
七月十,李適,1
月十五,李適,1
十五日,李適,1
五日題,李適,1
日題章,李適,1
題章敬,李適,1
章敬寺,李適,1
敬寺中,李適,1
寺中春,李適,1
中春麟,李適,1
春麟德,李適,1
德殿會,李適,1
殿會百,李適,1
會百僚,李適,1
百僚觀,李適,1
僚觀新,李適,1
觀新樂,李適,1
新樂詩,李適,1
樂詩一,李適,1
詩一章,李適,1
一章章,李適,1
章章十,李適,1
章十六,李適,1
十六句,李適,1
六句九,李適,1
句九日,李適,1
九日絕,李適,1
日絕句,李適,1
絕句答,李適,1
句答宋,李適,1
答宋十,李適,1
宋十一,李適,1
十一崖,李適,1
一崖口,李適,1
崖口五,李適,1
口五渡,李適,1
五渡見,李適,1
渡見贈,李適,1
見贈餞,李適,1
贈餞許,李適,1
餞許州,李適,1
許州宋,李適,1
州宋司,李適,1
宋司馬,李適,1
司馬赴,李適,1
馬赴任,李適,1
赴任奉,李適,1
任奉和,李適,1
奉和聖,李適,1
和聖制,李適,1
聖制九,李適,1
制九日,李適,1
九日侍,李適,1
日侍宴,李適,1
侍宴應,李適,1
宴應制,李適,1
應制得,李適,1
制得高,李適,1
得高字,李適,1
高字游,李適,1
字游禁,李適,1
游禁苑,李適,1
禁苑幸,李適,1
苑幸臨,李適,1
幸臨渭,李適,1
臨渭亭,李適,1
渭亭遇,李適,1
亭遇雪,李適,1
遇雪應,李適,1
雪應制,李適,1
應制奉,李適,4
制奉和,李適,4
奉和九,李適,1
和九日,李適,1
九日登,李適,1
日登慈,李適,1
登慈恩,李適,1
慈恩寺,李適,1
恩寺浮,李適,1
寺浮圖,李適,1
浮圖應,李適,1
圖應制,李適,1
應制侍,李適,3
制侍宴,李適,3
侍宴長,李適,1
宴長寧,李適,1
長寧公,李適,1
寧公主,李適,1
公主東,李適,1
主東莊,李適,1
東莊應,李適,1
莊應制,李適,2
